Date,Bedfordshire and Hertfordshire,West Midlands,"Herefordshire, Worcestershire and Warwickshire",Shropshire and Staffordshire,"Gloucestershire, Wiltshire and Bath/Bristol area",Dorset and Somerset,Lancashire,West Yorkshire,Hampshire and Isle of Wight,Greater Manchester,"Surrey, East and West Sussex",Outer London - South,Cumbria,Northumberland and Tyne and Wear,East Anglia,East Wales,West Wales and The Valleys,Cheshire,Merseyside,Essex,Kent,Outer London - East and North East,Derbyshire and Nottinghamshire,Tees Valley and Durham,North Yorkshire,South Yorkshire,East Yorkshire and Northern Lincolnshire,Lincolnshire,Inner London - East,Outer London - West and North West,Devon,Cornwall and Isles of Scilly,"Berkshire, Buckinghamshire and Oxfordshire","Leicestershire, Rutland and Northamptonshire",Inner London - West
1996,1.0349390730847206,1.0088721768967148,1.02549580347926,1.008180422732999,1.03050929214909,1.0291555966213783,0.9877718457672573,0.9968767449125084,1.0376818788036408,1.0055233252320828,1.0437069497835814,1.0456774493157381,1.0002844137476101,1.0034160298431036,1.0104165654280368,1.011999900129331,1.013058075226597,1.007691857468799,0.9969926468697983,1.0231219145920862,1.0261141468611605,1.041684667872905,1.0057503104984715,0.9980908680619625,1.0044723084199636,1.0005225181452537,0.9897785006679914,1.0089362273599403,1.0621882303748549,1.055629164369585,1.0157865045728431,1.0304646405100601,1.0414016133223605,1.020494514652495,1.0751606183767268
1997,1.1594341847298382,1.0686043051666334,1.1076889109247439,1.0621593635389843,1.1197050079911304,1.1306587149534306,1.0190937712658241,1.0272499142097145,1.1515468254543366,1.0395340620395666,1.1729542042447956,1.1824854063082215,1.0413995117312402,1.0450191208274946,1.085524550497786,1.0747955881537672,1.0523262329622798,1.060331636022346,1.0266751571079331,1.1222285747442573,1.127806630749274,1.154924135898413,1.0546581511898723,1.0187847641212655,1.0530103783148992,1.0284247073155435,0.9977705769397076,1.0661914800273988,1.2073129624655627,1.2068277659611326,1.0916896546650405,1.1166784214643144,1.1779105929048452,1.096559131188756,1.256100132869176
1998,1.2924329725826622,1.1379218519415104,1.1981080612809811,1.1194516060381188,1.2304737052441757,1.243270339005848,1.0584663088492399,1.069392585596131,1.2717720113216424,1.090259948786122,1.3146679686402771,1.3337168351943363,1.093091129964669,1.0990461291192615,1.179537599654971,1.14473315981259,1.1004638764162231,1.1347527513120188,1.0692139720435692,1.2326773686814458,1.2425999365318443,1.2936099588488001,1.1127025643409356,1.050558560103986,1.1149288944204765,1.0702912367749287,1.0248713438391721,1.1271178789003944,1.3624960190318056,1.3666678375091708,1.17182825455262,1.2160314325649417,1.3190383712411857,1.181997661810885,1.399426047038072
1999,1.4301428104414764,1.2178995295797526,1.3067329303676027,1.1917330200280438,1.3684446219397328,1.3729841710687327,1.1035858376151837,1.119968648779854,1.3986719135578227,1.158098990161002,1.458686646132437,1.5034359453711017,1.154934293739676,1.1573147008727422,1.287747525709395,1.2244559646466566,1.1518720727003187,1.2299523059956536,1.123723233642927,1.3488821979800465,1.3642779499704698,1.4317141378766745,1.1820815917106908,1.0801678428575754,1.1865292130968725,1.1228493196006863,1.0498700687318134,1.1972858077629294,1.5512783698177355,1.5419619671899736,1.2702993569256338,1.325603906994709,1.4686548881490777,1.2812829513343258,1.5707341580764858
2000,1.6760106249441498,1.3454435110600957,1.4751675865368183,1.3054420164562748,1.598597997946416,1.5966827036506794,1.1731655019068914,1.2049497952082078,1.646875604619428,1.2602735234993172,1.7184304163897277,1.7955085881727328,1.2360156374836115,1.2292591807916513,1.4913973953015311,1.3512867221153093,1.2325800344342566,1.3660684358301176,1.2207773164986557,1.5670456038040572,1.5875373121478924,1.6905406653260324,1.287899233471503,1.13438910863373,1.3278452643273202,1.202068118891503,1.1048967743874372,1.3179052589248497,1.8514722803366805,1.8197829389714546,1.4571369830631318,1.5093202481392234,1.7317326931597208,1.4458585804071107,1.8435984932797016
2001,1.8493732698823007,1.4957361685262591,1.6280704747838657,1.4301329208465592,1.7777426175340165,1.7734026764823463,1.2552940775747454,1.3068703662677963,1.8405722498219388,1.3723631897323083,1.9080429488158435,1.978230393097249,1.3243760531342283,1.3344451183378678,1.6830345711488799,1.487521986565317,1.3164518489236328,1.5111894661608685,1.32785545442334,1.7619952940945165,1.7702777287362994,1.9093904002576119,1.4224235252364499,1.1989215564097304,1.4949443027448013,1.2950839195786215,1.1795000019330681,1.478342732410513,2.0787841195957713,2.0118149254327964,1.66275344856399,1.6959443513113068,1.9097279726482708,1.6112720752375564,2.0356009256252126
2002,2.1568433364288255,1.747116885375833,1.889984964102893,1.6625042886945467,2.0866030559812265,2.106173575327513,1.4352311456475912,1.5177091924484218,2.1519874809785695,1.5703393755867745,2.1959996487889346,2.2793505183288354,1.5109044479364098,1.5816858778302743,2.007357552718272,1.7480203277619184,1.4962202519513843,1.7503590259101656,1.5226439210146918,2.095711958579339,2.0708320086223417,2.2625475991334905,1.7134734544968186,1.3645949228059082,1.7874761728039752,1.5143144698860447,1.3967810172498925,1.781631558073743,2.373519235689043,2.308771110312189,2.022611909147616,2.112146331799178,2.185907214282434,1.904191804356963,2.269734387866775
2003,2.490034877868334,2.1096808387054216,2.239098608408854,2.0140373699948664,2.4006915797569333,2.488384400449999,1.738937371393885,1.86029573395347,2.470253318070695,1.8721721202962165,2.4903489742768934,2.578711149927903,1.8440231463514025,2.004675304658255,2.3324779229001162,2.116528496854229,1.8467598014223314,2.0802165924551157,1.8536201064052331,2.4636901111926788,2.4260046763078003,2.6079862274126495,2.123727187451063,1.6966824351113567,2.1569685805305223,1.887189481855419,1.744680557640119,2.2106829919553355,2.6065742444039404,2.5845850019774357,2.415506224421639,2.6019008495349323,2.4401692208296266,2.28163422570818,2.394489047091836
2004,2.700356601749921,2.404960486437408,2.522626082310819,2.3645327868454364,2.646658596665187,2.7662157169170536,2.130632446480355,2.2110254356593306,2.6870753297383563,2.241341863523268,2.7014624620363255,2.7794739125823584,2.2947060405298387,2.4184914849087358,2.604041846911512,2.4750332821895387,2.31445604475563,2.416897460234796,2.3258762928111025,2.706650923960584,2.6960972636133844,2.8302472287968032,2.447064523393286,2.137548151387378,2.49721731707508,2.3275824170284425,2.1358921466646725,2.539110463261195,2.810351188970915,2.7796437943087793,2.7525749126685226,3.0049421045685056,2.628745343035688,2.5721675892341476,2.578298914056483
2005,2.8218953067778862,2.5857304508992938,2.690017440038783,2.5722817111442002,2.7965597353188976,2.9115575442632418,2.3661652784972214,2.4427929975343186,2.79250697276481,2.4854611280407743,2.821150645353498,2.87942079175169,2.5398855846478243,2.613695218934184,2.7599492156207868,2.6857719559337387,2.567652306548463,2.609849081193124,2.5684491788297703,2.857116273768548,2.8484287944932514,2.9725154564478338,2.6192636566950958,2.384603957317651,2.7009884515772873,2.571775626663006,2.3474860676214737,2.702712593560275,2.9463629114340906,2.8731811320103335,2.935888089470131,3.188420582914063,2.735261916609222,2.728175096928902,2.6792205961786175
