Date,United Kingdom
Feb 1995,1.010054743145532
Mar 1995,1.0135198257701463
Apr 1995,1.0092298271730265
May 1995,1.0122990150068023
Jun 1995,1.0195310916802958
Jul 1995,1.006288211174009
Aug 1995,1.0068701531641644
Sep 1995,1.014711439149197
Oct 1995,1.0123867813103802
Nov 1995,1.017360537250823
Dec 1995,1.0253116615252202
Jan 1996,1.0099926508713137
Feb 1996,1.0186450817712562
Mar 1996,1.0227764243366972
Apr 1996,1.0203734728479472
May 1996,1.0270981378308446
Jun 1996,1.0363527705545275
Jul 1996,1.0292007747166105
Aug 1996,1.0352891208272255
Sep 1996,1.0448862970551496
Oct 1996,1.0487820048421836
Nov 1996,1.0571205966870545
Dec 1996,1.063528715091968
Jan 1997,1.0625070242564352
Feb 1997,1.0712156141432445
Mar 1997,1.0844715686006325
Apr 1997,1.0867901558321509
May 1997,1.098666369397734
Jun 1997,1.1104292215058134
Jul 1997,1.112090073864506
Aug 1997,1.124232447132202
Sep 1997,1.1340166712451447
Oct 1997,1.142806896203931
Nov 1997,1.1508093520655769
Dec 1997,1.1614461502752222
Jan 1998,1.160872713858331
Feb 1998,1.1711670541851822
Mar 1998,1.1790837773799479
Apr 1998,1.1870740754011508
May 1998,1.1973538466550087
Jun 1998,1.2070109880568278
Jul 1998,1.2120769661240205
Aug 1998,1.219943959682438
Sep 1998,1.2266144385744053
Oct 1998,1.2331181454102718
Nov 1998,1.2397129471886967
Dec 1998,1.2494092833371866
Jan 1999,1.2451154314301707
Feb 1999,1.2528902601170944
Mar 1999,1.2617073967573507
Apr 1999,1.273660077718066
May 1999,1.284761796994609
Jun 1999,1.299113259858416
Jul 1999,1.309028688306476
Aug 1999,1.327403483542466
Sep 1999,1.340630315269971
Oct 1999,1.3568447378107877
Nov 1999,1.3730946368697665
Dec 1999,1.3932274946844443
Jan 2000,1.3998087074030798
Feb 2000,1.4131118225250305
Mar 2000,1.4321574691351566
Apr 2000,1.4519287372083296
May 2000,1.467217483806486
Jun 2000,1.4877915383217513
Jul 2000,1.4968673567024875
Aug 2000,1.511756336158978
Sep 2000,1.514648764996989
Oct 2000,1.522816593247049
Nov 2000,1.5294959916712585
Dec 2000,1.5481695324287437
Jan 2001,1.5489674219782197
Feb 2001,1.5609399591899595
Mar 2001,1.5730150708295143
Apr 2001,1.5957468800803785
May 2001,1.6159738528446403
Jun 2001,1.6370434224642112
Jul 2001,1.6529130872329323
Aug 2001,1.6731378939380332
Sep 2001,1.690880133497404
Oct 2001,1.7021053691769041
Nov 2001,1.7136360712486989
Dec 2001,1.7406891691930755
Jan 2002,1.7401819164554704
Feb 2002,1.7554165380587277
Mar 2002,1.780767454279817
Apr 2002,1.814634007627612
May 2002,1.8506170583182595
Jun 2002,1.9011260273271902
Jul 2002,1.9287710931234412
Aug 2002,1.9709966938936603
Sep 2002,1.9999276758047142
Oct 2002,2.027737956431082
Nov 2002,2.0578333352144615
Dec 2002,2.0980824754736176
Jan 2003,2.1050548519404244
Feb 2003,2.130296401152049
Mar 2003,2.14565874618197
Apr 2003,2.1726586585578165
May 2003,2.1971964001786617
Jun 2003,2.2283039189095937
Jul 2003,2.2378297637436217
Aug 2003,2.2606328397938427
Sep 2003,2.277541159108619
Oct 2003,2.296782644827335
Nov 2003,2.3265969763483523
Dec 2003,2.361266873501709
Jan 2004,2.360608575270716
Feb 2004,2.3843577218590433
Mar 2004,2.4082106398855627
Apr 2004,2.4535419295629906
May 2004,2.493773789735012
Jun 2004,2.5350474080953616
Jul 2004,2.55714622290984
Aug 2004,2.5871593532706876
Sep 2004,2.6019271541879
Oct 2004,2.6168542796339707
Nov 2004,2.631396629025361
Dec 2004,2.641839681311101
Jan 2005,2.6120661302657444
Feb 2005,2.6260505100216687
Mar 2005,2.639994958868663
Apr 2005,2.6573538189154773
May 2005,2.6732337165869224
Jun 2005,2.6896994840422943
Jul 2005,2.6889749393398734
Aug 2005,2.6955778818208245
Sep 2005,2.7014661289529975
Oct 2005,2.7133751613198758
Nov 2005,2.724472403795832
Dec 2005,2.745577421393801
Jan 2006,2.7282477249393895
Feb 2006,2.7502032930044513
Mar 2006,2.7751155784520507
Apr 2006,2.795793221136529
May 2006,2.818907656548492
Jun 2006,2.849480904882547
Jul 2006,2.8494140313714458
Aug 2006,2.867541676185723
Sep 2006,2.8957711711062113
Oct 2006,2.9130821129396764
Nov 2006,2.9389672921657723
Dec 2006,2.9736478150460948
Jan 2007,2.9590693900138607
Feb 2007,2.9811731617288024
Mar 2007,3.01277389357577
Apr 2007,3.040844220987099
May 2007,3.0644308389782973
Jun 2007,3.0968768152767043
Jul 2007,3.1049860549239208
Aug 2007,3.1252192147483973
Sep 2007,3.1379855884576955
Oct 2007,3.1453825368956707
Nov 2007,3.15441941756795
Dec 2007,3.1635057885079028
Jan 2008,3.1252960967825842
Feb 2008,3.1279898416926337
Mar 2008,3.114420983775845
Apr 2008,3.119038119701039
May 2008,3.1243588766092723
Jun 2008,3.1018434628400393
Jul 2008,3.054836601472279
Aug 2008,3.0088020092983316
Sep 2008,2.9618880731976094
Oct 2008,2.908513159200294
Nov 2008,2.8595797400988157
Dec 2008,2.8184369938421816
Jan 2009,2.774852436291932
Feb 2009,2.748931457848934
Mar 2009,2.738588500402919
Apr 2009,2.738371192693397
May 2009,2.755443388636102
Jun 2009,2.7698615436142555
Jul 2009,2.7912904236150884
Aug 2009,2.8120184175432232
Sep 2009,2.83908312402651
Oct 2009,2.859116315819392
Nov 2009,2.8805688468079538
Dec 2009,2.8979689762204077
