Date,urban,urban2,rural
Feb 1995,1.0113719940765213,1.0112790363392143,1.0081039916816035
Mar 1995,1.017392676280376,1.0095982584545489,1.0090539163217023
Apr 1995,1.0106782155937601,1.0095514509653083,1.0079527802016905
May 1995,1.0128806208575771,1.0125967533936198,1.0141256912592465
Jun 1995,1.0226071394555982,1.0182284473791792,1.015901230445759
Jul 1995,1.006925399341245,1.0078473205449707,1.0058644101954253
Aug 1995,1.0083851226708902,1.0075918300377515,1.004108913351526
Sep 1995,1.01847191847531,1.0115818720893084,1.0070612539529524
Oct 1995,1.0177219729705618,1.0085164232079122,1.0072035865393973
Nov 1995,1.0227097957248399,1.0107378026803184,1.0108743816580965
Dec 1995,1.0342047040141376,1.0196548611348129,1.012467800727563
Jan 1996,1.0160627488000076,1.0054703149440174,1.0018377668848095
Feb 1996,1.0267608398995618,1.0138835721265786,1.0066874487340889
Mar 1996,1.0274184823463688,1.0207657843685436,1.0149792520911054
Apr 1996,1.0260321450110779,1.0141606360175848,1.0130274532364236
May 1996,1.0321270994357237,1.0216462509508877,1.0237574534308866
Jun 1996,1.043033420013854,1.030919091268397,1.0296062505158068
Jul 1996,1.0333371339782578,1.026130427051909,1.0239301384137156
Aug 1996,1.04119461578619,1.033801947614806,1.0248952502703512
Sep 1996,1.051307280462041,1.0421222406836466,1.0352193245470476
Oct 1996,1.0539632007255975,1.0465986291301155,1.0406425035927898
Nov 1996,1.063526440071353,1.0542381124307159,1.0486900749790282
Dec 1996,1.072045393274709,1.0591993127076094,1.0536515640704256
Jan 1997,1.0691458314099294,1.0605461323201506,1.0534861937132212
Feb 1997,1.0778366697227135,1.0709052184830752,1.0598388015986056
Mar 1997,1.093041434601457,1.0824164054144711,1.0717018876589999
Apr 1997,1.093172973346509,1.0878476432510165,1.0771794495179894
May 1997,1.106681851701888,1.0977178761126443,1.0884741490070104
Jun 1997,1.1178023700232513,1.1113909540197593,1.0985695035192953
Jul 1997,1.1193911394697587,1.1105273604651904,1.1042139089228304
Aug 1997,1.1315604875821608,1.1261267914803916,1.1152593808719697
Sep 1997,1.141205835511518,1.136666898043754,1.1224834826300722
Oct 1997,1.1527118390623374,1.1435662783342564,1.1278635697971682
Nov 1997,1.1592392063177153,1.152923901631033,1.14043068208655
Dec 1997,1.1710739274092974,1.1617490415912277,1.1483927800584979
Jan 1998,1.1684837321247232,1.162564951453385,1.1529778175571188
Feb 1998,1.1794194931940494,1.1729667382389473,1.1629758906619658
Mar 1998,1.1886204803653793,1.1800290262929003,1.1672241979294162
Apr 1998,1.1968051098083445,1.1908749049510867,1.1753174524063346
May 1998,1.207900447882838,1.1990624464612112,1.1838445852424428
Jun 1998,1.217506109654379,1.2103282195705083,1.1934324217274497
Jul 1998,1.2220223154988408,1.2124727402863706,1.2023699103353076
Aug 1998,1.230180758017369,1.2236410776106927,1.209451284811246
Sep 1998,1.2368477971735137,1.2300791862068312,1.2149350944354333
Oct 1998,1.243581792333546,1.2360807301000327,1.2208483717582788
Nov 1998,1.2507783407967705,1.2405526626392038,1.227189708229632
Dec 1998,1.2593284114877648,1.2525913184171615,1.2385893559730459
Jan 1999,1.2545612147694079,1.2472392235202723,1.236560660990473
Feb 1999,1.2637677454933318,1.2574214592867758,1.2392193829886398
Mar 1999,1.2726241133680705,1.2654038305482922,1.250019661557236
Apr 1999,1.2850558914806574,1.2773429944061059,1.2607785649876313
May 1999,1.2968253201141604,1.2891735914769642,1.2698599191401936
Jun 1999,1.312180863974283,1.3015563350197763,1.2868935647772144
Jul 1999,1.3230310434164851,1.308019042536724,1.2978675110268585
Aug 1999,1.339892463891436,1.331382168490135,1.3143020981629214
Sep 1999,1.3544362625443225,1.3426019776318676,1.3300303874906039
Oct 1999,1.3704611305706618,1.3580309688776502,1.3484712969379238
Nov 1999,1.3874546162685142,1.3783928800949408,1.3603007567316756
Dec 1999,1.408500507059832,1.3978572127944666,1.3805622759350071
Jan 2000,1.4134717598861528,1.4040146062703218,1.3887338050535374
Feb 2000,1.4301305540290805,1.417385395247866,1.3985226654348886
Mar 2000,1.4481351503169075,1.4374426897862036,1.4216959181582625
Apr 2000,1.4689477175188068,1.456875247701675,1.4418163961006245
May 2000,1.4824641968641754,1.4733171876221323,1.4605922464728918
Jun 2000,1.5038857706703617,1.4959672068294467,1.4790719096016784
Jul 2000,1.512328491489599,1.5052995334766637,1.493433885575839
Aug 2000,1.5260388738920347,1.5215932079832888,1.512074533234189
Sep 2000,1.5264403261132213,1.5243704527681161,1.5193502246817225
Oct 2000,1.5336132995240392,1.5359594024504923,1.526602520394514
Nov 2000,1.5390077513737919,1.5458290437810118,1.532428016904346
Dec 2000,1.5620541228335947,1.5614018147520987,1.5455950639174958
Jan 2001,1.566106606267872,1.5559499947037325,1.5394750837510962
Feb 2001,1.575115553559567,1.5711714132341377,1.5611574917306228
Mar 2001,1.5881400286107668,1.5838512312943902,1.5729009542873944
Apr 2001,1.6107611708904075,1.6062218179185273,1.5947331261562039
May 2001,1.6325622958740793,1.625519731418378,1.6124076415898114
Jun 2001,1.6541191963014787,1.6449487763687323,1.636115481382645
Jul 2001,1.6701975141434817,1.6566330804686025,1.6562567971433797
Aug 2001,1.688529249962683,1.6799366344059556,1.6828150835522941
Sep 2001,1.7078198265251108,1.69584110417542,1.696169319460437
Oct 2001,1.7175276215615352,1.7133783317340392,1.709894209075691
Nov 2001,1.7266543441972195,1.7262077518242906,1.7276899010984044
Dec 2001,1.7559665973449532,1.75242712161345,1.7497153276950064
Jan 2002,1.7540188129716372,1.7504943927767749,1.75583293056019
Feb 2002,1.768017944839939,1.7676950457591314,1.773019217225043
Mar 2002,1.7931966453402235,1.7961963339151594,1.7974337860079004
Apr 2002,1.8248320354040959,1.8278046077502421,1.8397654057294848
May 2002,1.8610875543387628,1.8668442724885206,1.874596049714637
Jun 2002,1.9113146824507417,1.9173080723363078,1.9287959586161572
Jul 2002,1.9337734084970235,1.9514111756329853,1.965138763523179
Aug 2002,1.9739718839178868,1.9936255769094628,2.012862791255847
Sep 2002,2.0029608450687233,2.0289503293714066,2.0424788209514246
Oct 2002,2.0268929917797207,2.0651855592330852,2.0737451070372868
Nov 2002,2.0540690300869047,2.1006685671491288,2.108006919103978
Dec 2002,2.0961775641836544,2.138141124857798,2.147152744432533
Jan 2003,2.0998713897806374,2.1510064034120244,2.157302345960094
Feb 2003,2.121558276975389,2.17681791968673,2.1943822141932703
Mar 2003,2.1354959293835916,2.1976934985179883,2.208220110048465
Apr 2003,2.162694815946133,2.223964248133841,2.2326565448931217
May 2003,2.185006002898736,2.2522294103828964,2.256700835680946
Jun 2003,2.2151267719502106,2.282655524724904,2.2925193160850577
Jul 2003,2.2230068454991803,2.2905103251714167,2.299847267165651
Aug 2003,2.2463400819034294,2.3095888980225707,2.3226038982238135
Sep 2003,2.2610734042371474,2.3284911719010752,2.3439221815291575
Oct 2003,2.279094097494722,2.347855038422351,2.364719720645053
Nov 2003,2.307029535637073,2.375827640866984,2.397794043859617
Dec 2003,2.34000490154908,2.4101307711235207,2.433478579679448
Jan 2004,2.338688417742668,2.4080386750849745,2.437566218414054
Feb 2004,2.36276562080952,2.4371591057766144,2.455049758856901
Mar 2004,2.3832532115874603,2.4600646777681807,2.489992336634029
Apr 2004,2.4284082210920666,2.5026466724533516,2.5290281964639885
May 2004,2.4688243214461445,2.5417050332545514,2.572418801939272
Jun 2004,2.5062793588312813,2.5905182454757765,2.61090150659159
Jul 2004,2.5280055675103674,2.606010824862928,2.640077435700283
Aug 2004,2.5584583310149953,2.6373997477890554,2.6637944320653872
Sep 2004,2.574443038606351,2.652370737876315,2.683339927732129
Oct 2004,2.588529159035233,2.6597194062478606,2.705828925796626
Nov 2004,2.6028227844169924,2.6824358201793417,2.7113129300400938
Dec 2004,2.6133375049123617,2.692491533772454,2.7189986698145425
Jan 2005,2.580798800029143,2.6645594641505155,2.696360963514146
Feb 2005,2.597652093213942,2.675573207572398,2.7099383337718717
Mar 2005,2.60871073759497,2.6853955772799143,2.724946159516605
Apr 2005,2.6242948645098467,2.70805223357511,2.745263409635327
May 2005,2.644008382643201,2.711565417262246,2.7629113657702975
Jun 2005,2.660836940016354,2.734054408950375,2.7710205564830814
Jul 2005,2.656586346536762,2.7385550045957756,2.7724851151395797
Aug 2005,2.660580186477173,2.7426483718418027,2.7851285756678075
Sep 2005,2.6680808024849316,2.7493899578832584,2.786240258600722
Oct 2005,2.682943245004425,2.750391389348959,2.7994831473034654
Nov 2005,2.6898567637019015,2.7722521953605455,2.8127322407515023
