Date,Urban with City and Town,Urban with Major Conurbation,Urban with Significant Rural (rural including hub towns 26-49%),Largely Rural (rural including hub towns 50-79%),Mainly Rural (rural including hub towns >=80%),Urban with Minor Conurbation
May 1998,1.199300523464538,1.2278009032917894,1.1990624464612112,1.1852250104510171,1.1707596002020857,1.0781258401607283
Jun 1998,1.2089665677781158,1.237812133004693,1.2103282195705083,1.1941201014406535,1.1844752952980844,1.0855936922874905
Jul 1998,1.2118353410604092,1.2428895335457717,1.2124727402863706,1.204219389856735,1.1895026670248503,1.0887264570920039
Aug 1998,1.2212038199246802,1.2513817169869874,1.2236410776106927,1.2107860779599058,1.197312323893357,1.0887551022700797
Sep 1998,1.225765776504101,1.2584566315175665,1.2300791862068312,1.2150120251828935,1.2139262112678713,1.108897891992598
Oct 1998,1.2342425069234004,1.265363579724598,1.2360807301000327,1.2200423779959464,1.2249774624808485,1.1011534873976834
Nov 1998,1.2444246552389395,1.271055899959138,1.2405526626392038,1.2294111330773434,1.2117982121277677,1.0978487156496735
Dec 1998,1.2519575696067013,1.2802126053060054,1.2525913184171615,1.2390555754745276,1.2349207801736697,1.1088978305387411
Jan 1999,1.2440443214043713,1.2763301220749577,1.2472392235202723,1.234532660186388,1.247974479288952,1.1135613221711849
Feb 1999,1.2493746909047778,1.2884594522761756,1.2574214592867758,1.238998856500801,1.2388777541378855,1.117506736531635
Mar 1999,1.2622628418748765,1.295302942700721,1.2654038305482922,1.2503362147533064,1.2450020997155753,1.121658741808321
Apr 1999,1.2740712815871726,1.3086190594684168,1.2773429944061059,1.2606222154084852,1.2587927407035227,1.127907437134497
May 1999,1.283558698874563,1.3240165048541195,1.2891735914769642,1.2700146930641611,1.264943456177269,1.1294275526450361
Jun 1999,1.297979133215392,1.3398013919526555,1.3015563350197763,1.2880556035576562,1.274927532457682,1.138540990014471
Jul 1999,1.314970787494651,1.346222275822471,1.308019042536724,1.2997463217683167,1.2823702070747074,1.147373534118069
Aug 1999,1.3291862661865654,1.3663561343110684,1.331382168490135,1.3155728665887116,1.302054436145961,1.1538935943874862
Sep 1999,1.3425423428463197,1.382426124514508,1.3426019776318676,1.3307732989049177,1.3218538679047362,1.1677975659038904
Oct 1999,1.3599007844994593,1.3983416409324003,1.3580309688776502,1.3501694019645796,1.335912379857509,1.1787967363097251
Nov 1999,1.3762289542028951,1.4169410149047188,1.3783928800949408,1.3612907854615368,1.353501242962506,1.1785498370541223
Dec 1999,1.3986520897712353,1.4369546492527587,1.3978572127944666,1.3830231702134559,1.3627467337052652,1.1981028107767677
Jan 2000,1.4023307359285033,1.4434591177898244,1.4040146062703218,1.3909145188787675,1.3735751767517013,1.197875292267715
Feb 2000,1.4203204044843194,1.4615785270062105,1.417385395247866,1.4003438501794483,1.3843200525890589,1.188398326709152
Mar 2000,1.4377982537737588,1.4803369688179608,1.4374426897862036,1.423172867652337,1.4090581383813,1.2143561550306334
Apr 2000,1.4617121209268606,1.5006862901739313,1.456875247701675,1.4431416546048335,1.4282031771110766,1.2168605422221428
May 2000,1.4780331000123665,1.513933890570581,1.4733171876221323,1.4627657679714539,1.4402928750492947,1.2197086104869759
Jun 2000,1.5004679480809304,1.5348173282131314,1.4959672068294467,1.4814937803525234,1.4569747309835586,1.244521055450611
Jul 2000,1.5133203113734566,1.539659296513066,1.5052995334766637,1.4935500298335196,1.4930994176492318,1.2519408563610475
Aug 2000,1.524364185652804,1.5567610282623032,1.5215932079832888,1.5131720760907847,1.5025506255891956,1.2522128051078016
Sep 2000,1.527889741181633,1.5527667980585482,1.5243704527681161,1.519766096506609,1.5168811571099508,1.2779958537353049
Oct 2000,1.5327298050913947,1.5629580302272366,1.5359594024504923,1.5258390163412416,1.5343903001405197,1.2692182214885346
Nov 2000,1.5370148546382976,1.5696327786823745,1.5458290437810118,1.5348033296422008,1.5162241993326366,1.2628692646805755
Dec 2000,1.5576457101151844,1.592348301511353,1.5614018147520987,1.5463271658352404,1.5379170814084773,1.3079289236850646
Jan 2001,1.5607002359135305,1.600095223245288,1.5559499947037325,1.54203157225604,1.5190949123651776,1.2744206652892613
Feb 2001,1.5701142025378176,1.6089200929001515,1.5711714132341377,1.562261851003771,1.5533906309803385,1.2639714888674909
Mar 2001,1.5815375039386315,1.6227484897674485,1.5838512312943902,1.5745347993751508,1.55479400796208,1.2930781219950256
Apr 2001,1.606784975583139,1.6419626894257235,1.6062218179185273,1.5962747680615919,1.5794072162710913,1.3337217202772615
May 2001,1.625033430159701,1.6685142146227938,1.625519731418378,1.6113231512263535,1.6151238450546777,1.3409999330847595
Jun 2001,1.6535721989296177,1.6857323372364124,1.6449487763687323,1.6354799179015072,1.6356075549056717,1.363280504126875
Jul 2001,1.6628999610057478,1.7076853133971137,1.6566330804686025,1.656811498133007,1.6471007160146465,1.3619956912870468
Aug 2001,1.6866998685761745,1.7214708841749897,1.6799366344059556,1.680995044997281,1.6942690707060335,1.389609845350159
Sep 2001,1.7076288084093054,1.7397158330280016,1.69584110417542,1.6963623478733971,1.6934545944469257,1.4051180155859953
Oct 2001,1.7147999588437108,1.7520379387553795,1.7133783317340392,1.7084385684745196,1.7222391723566617,1.4110848597626868
Nov 2001,1.7277868597588897,1.759870710137097,1.7262077518242906,1.7265261780484276,1.734100801411275,1.4111344626247162
Dec 2001,1.7552611423376379,1.7898047609942882,1.75242712161345,1.7468226161723381,1.7695198879056,1.4505870136186012
Jan 2002,1.7501832430759479,1.788743426595469,1.7504943927767749,1.7543179879453712,1.7684886522011112,1.4456210482007603
Feb 2002,1.767627994099086,1.800654199822962,1.7676950457591314,1.7715573219365546,1.7857184542575637,1.4568297331057718
Mar 2002,1.795676100138135,1.822113517362524,1.7961963339151594,1.7939111433670996,1.8228864214412683,1.4995036860041484
Apr 2002,1.8243649157106059,1.856281110629703,1.8278046077502421,1.8380805089280896,1.8534760141556759,1.5268050847276309
May 2002,1.8660100286300856,1.8898053952493281,1.8668442724885206,1.8729660787541205,1.8848292023418582,1.5505120934582457
Jun 2002,1.9120727941396383,1.942028961930115,1.9173080723363078,1.924419251553799,1.962626068386469,1.6201550990474543
Jul 2002,1.9470369525877254,1.955423090677821,1.9514111756329853,1.9615369933826852,1.992341551093397,1.6375844867607088
Aug 2002,1.9858520089403462,1.9975606132415389,1.9936255769094628,2.007292919133856,2.052390202119891,1.6740490958054552
Sep 2002,2.017994572818109,2.024953195603809,2.0289503293714066,2.0406145169205114,2.0574981371403225,1.7034224725463434
Oct 2002,2.0492690800720457,2.0439448831759535,2.0651855592330852,2.0700499277888254,2.1050738753662013,1.7263653697785302
Nov 2002,2.078137571567738,2.069355039288012,2.1006685671491288,2.1024426781737056,2.1517487142085034,1.7676724369561247
Dec 2002,2.122175721008711,2.1106224019704865,2.138141124857798,2.1405757524485507,2.1973990297378707,1.7979600907722841
Jan 2003,2.1239109130435407,2.113443333335436,2.1510064034120244,2.152571880921516,2.1950949463203546,1.8265534154346748
