"","Date","England and Wales"
"1",1995-02-01,1.01018305754436
"2",1995-03-01,1.01353109197031
"3",1995-04-01,1.00929299396777
"4",1995-05-01,1.01241378220477
"5",1995-06-01,1.01961029367053
"6",1995-07-01,1.00624604071687
"7",1995-08-01,1.00693061696431
"8",1995-09-01,1.01474711921186
"9",1995-10-01,1.01255048591463
"10",1995-11-01,1.01766978324401
"11",1995-12-01,1.02544720390171
"12",1996-01-01,1.01063554550622
"13",1996-02-01,1.01884288158385
"14",1996-03-01,1.02285088449628
"15",1996-04-01,1.02067794040604
"16",1996-05-01,1.02739467665767
"17",1996-06-01,1.03674068644592
"18",1996-07-01,1.02953574373412
"19",1996-08-01,1.03549255599216
"20",1996-09-01,1.04518991018976
"21",1996-10-01,1.04894034209639
"22",1996-11-01,1.05738875136419
"23",1996-12-01,1.06353089826327
"24",1997-01-01,1.0628433168316
"25",1997-02-01,1.07153868568622
"26",1997-03-01,1.08478961901606
"27",1997-04-01,1.08682553808163
"28",1997-05-01,1.09875619801078
"29",1997-06-01,1.1107546758123
"30",1997-07-01,1.1120644491421
"31",1997-08-01,1.12454007266936
"32",1997-09-01,1.13435471944624
"33",1997-10-01,1.14282452402539
"34",1997-11-01,1.15086232142251
"35",1997-12-01,1.16176929195932
"36",1998-01-01,1.16120802877616
"37",1998-02-01,1.17140444172323
"38",1998-03-01,1.17920302712713
"39",1998-04-01,1.18729565962096
"40",1998-05-01,1.19730865526839
"41",1998-06-01,1.2068632988113
"42",1998-07-01,1.21195431184841
"43",1998-08-01,1.22001082672136
"44",1998-09-01,1.22663026467348
"45",1998-10-01,1.23330813838229
"46",1998-11-01,1.23980777068785
"47",1998-12-01,1.24957209886316
"48",1999-01-01,1.24531608556823
"49",1999-02-01,1.25317071171175
"50",1999-03-01,1.26213604861105
"51",1999-04-01,1.27399564716838
"52",1999-05-01,1.28503900449227
"53",1999-06-01,1.29928844709575
"54",1999-07-01,1.30925927824567
"55",1999-08-01,1.32755044303132
"56",1999-09-01,1.34091901987603
"57",1999-10-01,1.35701562148682
"58",1999-11-01,1.37321053845443
"59",1999-12-01,1.39336925458264
"60",2000-01-01,1.39995890969224
"61",2000-02-01,1.41347777428232
"62",2000-03-01,1.43229297044181
"63",2000-04-01,1.45193688695511
"64",2000-05-01,1.46690725379364
"65",2000-06-01,1.48783800030185
"66",2000-07-01,1.49688015645347
"67",2000-08-01,1.51164605818873
"68",2000-09-01,1.51454362305468
"69",2000-10-01,1.5228014718437
"70",2000-11-01,1.52943229309735
"71",2000-12-01,1.54831434451546
"72",2001-01-01,1.54956103754026
"73",2001-02-01,1.56141687834236
"74",2001-03-01,1.57322077115925
"75",2001-04-01,1.59583170307444
