Date,England and Wales,England,Wales,London Effect
Feb-95,1.010206206,1.010932783,0.988894136,1.007847017
Mar-95,1.013518794,1.014010474,0.994330008,1.00964239
Apr-95,1.009322224,1.01001645,0.98758631,1.004339407
May-95,1.012404136,1.013147965,0.999140099,1.007898781
Jun-95,1.019588085,1.02034923,0.997460482,1.014171252
Jul-95,1.006354693,1.007039181,0.987203749,1.000619549
Aug-95,1.006995721,1.007505977,0.990249104,1.000220627
Sep-95,1.014791676,1.01472643,0.996818993,1.007100412
Oct-95,1.012514288,1.013580439,0.978326143,1.004147416
Nov-95,1.017419838,1.017621369,0.999038034,1.009125634
Dec-95,1.025351187,1.026276144,0.990855512,1.015774943
Jan-96,1.010026053,1.010895288,0.989105721,1.001807429
Feb-96,1.018682298,1.01960906,0.989835613,1.008708479
Mar-96,1.022970904,1.023511034,0.989061554,1.012564013
Apr-96,1.020521773,1.020798324,0.997506798,1.008716317
May-96,1.027249421,1.02827999,0.99591903,1.015606873
Jun-96,1.036493703,1.037561623,1.002531721,1.02465389
Jul-96,1.029293924,1.029869618,1.007658025,1.017177983
Aug-96,1.035478878,1.036009072,1.007124919,1.02233626
Sep-96,1.044948076,1.045777583,1.013342077,1.031687581
Oct-96,1.048935217,1.049572966,1.016608966,1.035663265
Nov-96,1.057303288,1.058366396,1.016065587,1.042443969
Dec-96,1.06357762,1.06518169,1.01798538,1.049475189
Jan-97,1.062678671,1.064095634,1.021063061,1.048631363
Feb-97,1.071279547,1.072485955,1.025996831,1.056150985
Mar-97,1.084540926,1.08600702,1.030954468,1.068545017
Apr-97,1.08697122,1.088475148,1.036573671,1.070527682
May-97,1.098755818,1.100776372,1.042081661,1.080850643
Jun-97,1.110534715,1.112389279,1.05667893,1.091713888
Jul-97,1.11221122,1.114469703,1.048396073,1.092615828
Aug-97,1.124362061,1.126929069,1.054659468,1.104431036
Sep-97,1.134146451,1.136412044,1.068946286,1.113562966
Oct-97,1.143033379,1.145638636,1.070662555,1.12210616
