"","Date","East of England","West Midlands (England)","South West (England)","North West (England)","Yorkshire and The Humber","South East (England)","London","North East (England)","Wales","East Midlands (England)"
"250","2015-11-01",3.9695,3.0436,3.6754,2.8195,2.8482,4.0253,5.4434,2.6151,2.9626,3.1531
"251","2015-12-01",3.9913,3.0563,3.6846,2.8296,2.8502,4.0619,5.4889,2.6136,2.9469,3.1601
"252","2016-01-01",4.0189,3.0667,3.7108,2.8204,2.8357,4.0804,5.5529,2.5922,2.9775,3.1821
"253","2016-02-01",4.0435,3.064,3.7249,2.8246,2.8662,4.1131,5.6195,2.6069,2.9729,3.1988
"254","2016-03-01",4.0813,3.0602,3.7174,2.836,2.8488,4.1327,5.6431,2.6016,2.967,3.1839
"255","2016-04-01",4.1298,3.1238,3.769,2.8668,2.8921,4.2042,5.6948,2.6235,2.991,3.2484
"256","2016-05-01",4.2015,3.1341,3.7989,2.8961,2.9056,4.2402,5.7744,2.6524,3.013,3.2747
"257","2016-06-01",4.2393,3.1633,3.8207,2.9005,2.9268,4.2823,5.7858,2.6516,3.0249,3.2807
"258","2016-07-01",4.2824,3.195,3.8622,2.9264,2.9541,4.3226,5.8715,2.641,3.048,3.3092
"259","2016-08-01",4.2921,3.1993,3.879,2.9303,2.9319,4.3354,5.8779,2.6663,3.0426,3.3168
"260","2016-09-01",4.315,3.1879,3.903,2.9412,2.9456,4.3323,5.8622,2.6511,3.0594,3.3159
"261","2016-10-01",4.3318,3.1829,3.8796,2.9106,2.9515,4.3481,5.8531,2.6478,3.0509,3.3133
"262","2016-11-01",4.344,3.2061,3.8939,2.9358,2.9347,4.3386,5.8214,2.6359,3.0622,3.336
"263","2016-12-01",4.3662,3.213,3.9091,2.9361,2.9401,4.3516,5.8663,2.6339,3.0823,3.3617
"264","2017-01-01",4.3907,3.2353,3.9153,2.9394,2.9271,4.3769,5.8741,2.6448,3.0494,3.3653
"265","2017-02-01",4.395,3.2274,3.9187,2.9317,2.9541,4.3727,5.9127,2.6271,3.0564,3.3625
"266","2017-03-01",4.4077,3.2458,3.9195,2.9499,2.9337,4.383,5.8823,2.6198,3.0667,3.3864
"267","2017-04-01",4.4492,3.2861,3.9503,2.9815,2.9772,4.4189,5.9364,2.6653,3.094,3.4141
"268","2017-05-01",4.4857,3.299,3.9937,2.993,2.9899,4.4474,5.9936,2.6934,3.0854,3.4302
"269","2017-06-01",4.4929,3.3097,4.0048,3.0193,3.025,4.4821,5.98,2.6792,3.106,3.4591
"270","2017-07-01",4.5416,3.3381,4.0476,3.0429,3.0303,4.5061,6.0375,2.7017,3.1665,3.4939
"271","2017-08-01",4.5583,3.3622,4.0857,3.0641,3.054,4.5307,6.1004,2.6856,3.1498,3.513
"272","2017-09-01",4.5837,3.3558,4.0756,3.0616,3.0527,4.52,6.0559,2.7023,3.1792,3.5143
"273","2017-10-01",4.5915,3.3753,4.0777,3.0536,3.0589,4.5375,5.9938,2.7049,3.1891,3.5291
"274","2017-11-01",4.5692,3.3902,4.0929,3.0706,3.0718,4.535,5.9726,2.6917,3.1849,3.5448
"275","2017-12-01",4.5916,3.3983,4.0991,3.0687,3.0672,4.5231,6.0073,2.72,3.196,3.549
"276","2018-01-01",4.6067,3.3912,4.1147,3.0783,3.0681,4.527,5.9632,2.6883,3.2115,3.5289
"277","2018-02-01",4.604,3.388,4.0903,3.0668,3.0804,4.5371,5.9384,2.6962,3.2101,3.5693
"278","2018-03-01",4.6072,3.3979,4.1222,3.0801,3.0609,4.526,5.9588,2.6528,3.2166,3.5614
"279","2018-04-01",4.6119,3.4237,4.1268,3.0987,3.0902,4.5457,5.9206,2.7294,3.2132,3.5805
"280","2018-05-01",4.63,3.4386,4.143,3.0985,3.1061,4.5801,6.0363,2.7271,3.2271,3.6004
"281","2018-06-01",4.634,3.4796,4.1906,3.137,3.1261,4.5792,5.9817,2.7223,3.2862,3.6376
"282","2018-07-01",4.6747,3.5235,4.223,3.1587,3.1336,4.5969,6.0048,2.7214,3.3121,3.6558
"283","2018-08-01",4.7007,3.523,4.2207,3.1792,3.1759,4.6052,6.0056,2.7503,3.3134,3.6687
"284","2018-09-01",4.6783,3.5214,4.2216,3.1839,3.1554,4.6124,6.0015,2.73,3.3438,3.6941
"285","2018-10-01",4.6939,3.5272,4.2105,3.1695,3.1567,4.5761,5.9449,2.7558,3.3456,3.6707
"286","2018-11-01",4.6703,3.558,4.2285,3.1761,3.1718,4.5915,5.9323,2.7247,3.3493,3.7084
"287","2018-12-01",4.6848,3.5453,4.2266,3.1805,3.1587,4.5494,5.8755,2.7188,3.3248,3.6997
"288","2019-01-01",4.6705,3.5243,4.216,3.1847,3.1526,4.545,5.8718,2.6879,3.3455,3.6767
"289","2019-02-01",4.6409,3.5354,4.1907,3.194,3.1536,4.5267,5.8701,2.6942,3.3287,3.6675
"290","2019-03-01",4.6363,3.523,4.177,3.1751,3.1573,4.5348,5.8158,2.6662,3.3522,3.7097
"291","2019-04-01",4.6348,3.547,4.1922,3.1931,3.1828,4.5351,5.8592,2.7489,3.361,3.7183
"292","2019-05-01",4.6637,3.562,4.2291,3.2346,3.2079,4.539,5.8293,2.7412,3.372,3.718
"293","2019-06-01",4.6824,3.5773,4.2267,3.2346,3.2093,4.5548,5.8458,2.8,3.42,3.7589
"294","2019-07-01",4.7018,3.5782,4.2609,3.2661,3.2509,4.5883,5.9419,2.758,3.4105,3.7437
"295","2019-08-01",4.7072,3.6293,4.2603,3.2788,3.2656,4.6013,5.9556,2.7821,3.4829,3.7708
"296","2019-09-01",4.67,3.6034,4.2835,3.2934,3.2583,4.6237,5.9581,2.8066,3.4177,3.7535
