Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1995 Q2,1.0050110523797497,1.000755769274622,1.00579278470059,1.0022111912933171,0.9999611243055209,1.0065152214072917,1.014740527710201,1.0042414929225894,1.0003621915798981,1.004259575275076
1995 Q3,1.0025589766584957,0.9919258844304552,1.0002424922422153,0.9915041174140479,0.9939831091735353,1.0061719822372646,1.016950144706281,0.9935512147571935,0.9957702710690086,1.000010963573654
1995 Q4,1.0071253525699886,1.003751018702401,1.0010979655800165,0.9917514667285222,0.9969108082962554,1.0121325429430785,1.0278473171477158,0.9997777934985858,0.9949292291559516,0.9982951041017667
1996 Q1,1.0008253161671314,0.9958743447715536,1.0049959780352635,0.9913041714112858,0.9881629758393902,1.0180575289179563,1.0388701891741208,0.9894821733893613,0.9927515363039949,0.9995499371204013
1996 Q2,1.0134290121106957,1.0039243417840884,1.019537690873512,0.9917409651204239,0.9930380872098677,1.0294017856158906,1.0574533439930855,1.0057129371617433,1.003000280251271,1.0055612456174612
1996 Q3,1.0269286276014462,1.0100602503389176,1.0306128319790553,0.9903571167588783,0.9895915951772467,1.0479317488297675,1.076162900469146,0.9969939785241125,1.0134370185395503,1.014858590250719
1996 Q4,1.048765041333183,1.027511917374205,1.0502275458970194,1.003685451829135,1.0048714010232485,1.073282265284064,1.1036541473700938,1.0099063538846094,1.0217569073185084,1.0285578776533184
1997 Q1,1.0676982322431252,1.0406197114674747,1.0715164786110236,1.0111392099454084,1.0039266293865148,1.1008420335593578,1.1389911758904847,1.0101335056151874,1.0319344685597927,1.0420551147405337
1997 Q2,1.1013105625514108,1.0630147772809846,1.099719186822424,1.0261968629582676,1.0141400787693247,1.1393292043967291,1.1899344045830296,1.0270670753603295,1.0500508863928006,1.065520698810812
1997 Q3,1.1333757041541384,1.0830806468785252,1.1291569897845322,1.0328774374614114,1.021651090581247,1.1842277805320873,1.238704409203354,1.0343435019777716,1.0624237114914903,1.08050643744956
1997 Q4,1.1653304717552615,1.1032043428762432,1.1570569749680157,1.046334422204567,1.0434104176806687,1.2235407599591959,1.2792347242958522,1.0510618518676316,1.0791859431247268,1.0986953649986084
1998 Q1,1.1871046045838143,1.1156952625587295,1.1786446535116812,1.0632190133041868,1.0477025627839995,1.2502545181050433,1.308671345104298,1.0597439697891935,1.0886220056435811,1.1097933788513326
1998 Q2,1.2181508112430315,1.1362076333465463,1.2084824080826466,1.0756946604212525,1.060293915921946,1.2883074904770402,1.3556157693138988,1.069339392444128,1.108773133228414,1.1323930459806892
1998 Q3,1.247231172117787,1.154672910231247,1.236425116201154,1.081538015525287,1.0715070330967507,1.3169314224815432,1.3917277728799144,1.0737713479871036,1.1179325194975867,1.1500413644644611
1998 Q4,1.2675281321407519,1.1713055022328127,1.2560839214076058,1.0980924651660229,1.0809084421200441,1.3397799815719553,1.4115440034403397,1.094755648381691,1.1352784117829442,1.1683274262429537
1999 Q1,1.2806101310841786,1.1837207160037497,1.2703285388184733,1.1085159263053643,1.085485068440294,1.3526866437639995,1.4298942287495262,1.0922698460536324,1.1392891259618614,1.1769768050545488
1999 Q2,1.317618083334612,1.2095972665317594,1.3083596863808893,1.129431892293731,1.1022357553447006,1.3970341282783099,1.4864751425861273,1.1120481607216162,1.1605263077108297,1.2058741856337467
1999 Q3,1.364317610715712,1.2393113758207088,1.3608845056491616,1.1508726939601035,1.118617987994852,1.4564405970172563,1.5643228997877914,1.1264886335681568,1.1821181614671994,1.2314115295421448
1999 Q4,1.4272354998798813,1.2777042118710848,1.4258223187100887,1.1744221926033636,1.1441409834822187,1.534304492156972,1.6548183186465169,1.142426332955858,1.2121763694250391,1.2643445074114514
2000 Q1,1.4855305617198313,1.3065874042095673,1.475910240904404,1.1978984892985343,1.157164636929191,1.6008687369768486,1.7300842245235672,1.15571504492774,1.2340792295666674,1.295388454245448
2000 Q2,1.5579503226645952,1.3496518821273031,1.5531207619860496,1.225402611527596,1.1882823577304584,1.6850209133892184,1.8289846307425341,1.1721873656045052,1.2653971673060826,1.3370516953347649
