"","Date","England and Wales"
"1",1995-04-01,1.00550415213528
"2",1995-07-01,1.00085494618226
"3",1995-10-01,1.01031327399965
"4",1996-01-01,1.00929068824865
"5",1996-04-01,1.01988317927046
"6",1996-07-01,1.02796611328105
"7",1996-10-01,1.04801945190136
"8",1997-01-01,1.06459319416761
"9",1997-04-01,1.09031255764345
"10",1997-07-01,1.1143266294735
"11",1997-10-01,1.14219788611826
"12",1998-01-01,1.16154889936356
"13",1998-04-01,1.1876915737487
"14",1998-07-01,1.20932932481969
"15",1998-10-01,1.23071713726033
"16",1999-01-01,1.24358191984964
"17",1999-04-01,1.27575042836251
"18",1999-07-01,1.31426695546836
"19",1999-10-01,1.36280481094633
"20",2000-01-01,1.40515234968083
"21",2000-04-01,1.45761825199623
"22",2000-07-01,1.49529774971085
"23",2000-10-01,1.52106814600373
"24",2001-01-01,1.54925849716691
"25",2001-04-01,1.6039481378332
"26",2001-07-01,1.65748833216463
"27",2001-10-01,1.70328873867324
"28",2002-01-01,1.74629972473186
"29",2002-04-01,1.83907249707514
"30",2002-07-01,1.94698214250802
"31",2002-10-01,2.0417852445384
"32",2003-01-01,2.10758992066634
"33",2003-04-01,2.17960639773941
"34",2003-07-01,2.23729865645591
"35",2003-10-01,2.30522523402846
"36",2004-01-01,2.36216383192088
"37",2004-04-01,2.46954130563655
"38",2004-07-01,2.55456663452223
"39",2004-10-01,2.60260279346676
"40",2005-01-01,2.59987410345541
"41",2005-04-01,2.64706339526117
"42",2005-07-01,2.668396932705
"43",2005-10-01,2.70082560017418
"44",2006-01-01,2.72565005679788
"45",2006-04-01,2.79501219166706
"46",2006-07-01,2.84233366166375
"47",2006-10-01,2.91248820397998
"48",2007-01-01,2.95530810551439
"49",2007-04-01,3.03783624288527
"50",2007-07-01,3.09082230553049
"51",2007-10-01,3.12214751251002
"52",2008-01-01,3.09140260899354
"53",2008-04-01,3.08479538368115
"54",2008-07-01,2.98369637239105
"55",2008-10-01,2.83826466467881
"56",2009-01-01,2.72711291834471
"57",2009-04-01,2.73080223997046
"58",2009-07-01,2.78980910002878
"59",2009-10-01,2.85498900490221
"60",2010-01-01,2.88844416167918
"61",2010-04-01,2.92976382740007
"62",2010-07-01,2.95292948146834
"63",2010-10-01,2.92660838999468
"64",2011-01-01,2.88974864828441
"65",2011-04-01,2.90248726593547
"66",2011-07-01,2.91721879212529
"67",2011-10-01,2.90697016967886
"68",2012-01-01,2.89522612681403
"69",2012-04-01,2.93927506447623
"70",2012-07-01,2.95550142183928
"71",2012-10-01,2.94998990769866
"72",2013-01-01,2.94907198327072
"73",2013-04-01,2.99152561949361
"74",2013-07-01,3.0391352440535
"75",2013-10-01,3.0781060638029
"76",2014-01-01,3.11758030419604
"77",2014-04-01,3.19843404981649
"78",2014-07-01,3.27915573746839
"79",2014-10-01,3.30175069208804
"80",2015-01-01,3.32209785967838
"81",2015-04-01,3.37501176783786
"82",2015-07-01,3.45401946951603
"83",2015-10-01,3.49615519944791
"84",2016-01-01,3.55388807995396
"85",2016-04-01,3.61075256406132
"86",2016-07-01,3.67818836878011
"87",2016-10-01,3.68090455487881
"88",2017-01-01,3.71221413485083
"89",2017-04-01,3.76780033073865
"90",2017-07-01,3.84064486348128
"91",2017-10-01,3.8482415781106
"92",2018-01-01,3.86102457397312
"93",2018-04-01,3.8951781026057
"94",2018-07-01,3.95785058978475
"95",2018-10-01,3.94632709977222
"96",2019-01-01,3.92236820475548
"97",2019-04-01,3.95132666649553
"98",2019-07-01,4.01456166141479
"99",2019-10-01,4.02765485644779
