"","Date","UKH","UKG","UKK","UKD","UKE","UKJ","UKI","UKC","UKL","UKF"
"1",1995-04-01,1.00479764115629,1.00010276362336,1.00525686547397,1.00275395007407,1.00046802883654,1.00579084012341,1.01488068326372,1.00502758828131,1.00055483933418,1.0042380113905
"2",1995-07-01,1.00262604232046,0.992626669763763,0.999723411076166,0.992181030550097,0.994064635657326,1.00521213759567,1.01826598883281,0.993522066033273,0.996302255522405,0.999430603333962
"3",1995-10-01,1.00717169500828,1.00396774136016,1.00156481988344,0.991842489906154,0.997307658353265,1.01185324633494,1.02973269223441,1.00089899893909,0.995635098126372,0.998037300528077
"4",1996-01-01,1.0017880893627,0.995650669624613,1.00595603553491,0.992477293164905,0.988177862026833,1.01818669175659,1.04050299078405,0.990985272753964,0.9948548152448,0.999405248702942
"5",1996-04-01,1.01411429057876,1.00434488296308,1.01994241590425,0.992772442383472,0.993354410370601,1.02950241814808,1.05952874873886,1.00674766310728,1.00514849306318,1.00582873681365
"6",1996-07-01,1.02730124682229,1.0101444232547,1.03071835084336,0.991048053356742,0.989346704063318,1.04776134848039,1.07839058045211,0.99863663993706,1.01493295968308,1.01453759099937
"7",1996-10-01,1.04981204158745,1.02787615241004,1.04968388447069,1.00399988239366,1.00459506724957,1.07318901005992,1.10566444092546,1.01131427161386,1.02297261591607,1.02759000955746
"8",1997-01-01,1.06851294884903,1.04025748845366,1.07113249238612,1.01121467301292,1.00473144132973,1.10143809681783,1.14067385584859,1.01210455749542,1.0323940580604,1.04147055061171
"9",1997-04-01,1.10060255591249,1.06232047388041,1.09949470855643,1.02580116817308,1.01461764892186,1.13892364715392,1.18993541487282,1.0264981938861,1.05176252387993,1.06532653167609
"10",1997-07-01,1.13265651566353,1.08217530761765,1.1285141099476,1.03306050103492,1.02206878037177,1.18323230168395,1.23833325266443,1.03638665132822,1.06362906579266,1.07963165079181
"11",1997-10-01,1.16427988621416,1.10250986128059,1.15561088362731,1.0470566871786,1.04407017451372,1.22218477087799,1.27813692319954,1.05249400949534,1.08072663207503,1.09811562127982
"12",1998-01-01,1.18665817401628,1.11625293900286,1.17862973755686,1.06387416939933,1.04773235668305,1.24943753468492,1.30903028739153,1.06070587445955,1.08971897365964,1.10993018129776
"13",1998-04-01,1.21767268599121,1.13525740912102,1.20763778827156,1.07573205687405,1.06072735282189,1.28696275677231,1.35444488884137,1.0701030142349,1.10860879480918,1.13103710540805
"14",1998-07-01,1.24641482841968,1.15443520255477,1.23507044917681,1.08224416502675,1.07248623583867,1.31575063536305,1.39005396417562,1.07556134033411,1.11853802275757,1.14928226361595
"15",1998-10-01,1.26795450724463,1.17169923293764,1.25542208846485,1.0996072563024,1.08202148658126,1.33891737963618,1.41048669732674,1.09788952595485,1.13804233621066,1.16823369311665
"16",1999-01-01,1.28103469668994,1.18423689305787,1.27028510567793,1.11002784862081,1.08683732666718,1.3520103922628,1.42902937371886,1.09483053042798,1.14078589328697,1.17821638228789
"17",1999-04-01,1.31711791135047,1.2092986085217,1.30802794570838,1.1308739517879,1.10447762558503,1.39541939466034,1.48495354900966,1.11412291816982,1.16273996380059,1.20540092025564
"18",1999-07-01,1.36361950055189,1.239008635712,1.35902908391813,1.15185785567687,1.12000342224512,1.45452791975422,1.56139832199512,1.12850302110163,1.18426818238093,1.23149571578611
"19",1999-10-01,1.42577219726118,1.2779174643376,1.42397280768456,1.1758065568124,1.14582222504818,1.53209075547405,1.65089801314828,1.14403937745943,1.214632924296,1.26477822190856
"20",2000-01-01,1.48587874648291,1.30628649721401,1.47532034515953,1.2008526879962,1.15896642912314,1.59841150349418,1.72414958086945,1.16071739851836,1.23561146479161,1.29551290152014
"21",2000-04-01,1.55457180301568,1.34916111247378,1.55057806960635,1.22762684919857,1.18964026844437,1.68136238085635,1.82260372544459,1.17515806911938,1.26815536065853,1.33696652794919
"22",2000-07-01,1.61209418903929,1.38471677862974,1.59602626023822,1.25272300792425,1.21893494423704,1.73424066026984,1.86752381995668,1.19519178894747,1.29056557188538,1.37766203804063
"23",2000-10-01,1.63892460776041,1.41606612041786,1.62259410997938,1.27915207573404,1.2333398081423,1.75671897067094,1.88433840385729,1.21156493418392,1.31133524872993,1.4043335446692
"24",2001-01-01,1.6604125247172,1.4382819362572,1.64800217163387,1.29163840275518,1.2417912739699,1.78251174983673,1.91861932641326,1.22870856540913,1.32204972407716,1.42459262542585
"25",2001-04-01,1.72394529096016,1.4862913528761,1.71476861526809,1.32926890720382,1.28435596725073,1.84795349260922,1.99209037419829,1.2512668315269,1.36235666823871,1.47954209676928
"26",2001-07-01,1.79207293516864,1.52746788757727,1.78471658015974,1.36144156658129,1.32255388664925,1.91202887837966,2.06750658165048,1.28481149564141,1.40438117762044,1.52616983483236
"27",2001-10-01,1.85990526507756,1.575259899429,1.84119533246313,1.39791214491772,1.36215763841478,1.97245232495021,2.12797357005719,1.3144196701326,1.43216632867698,1.58105166932104
"28",2002-01-01,1.90837240691029,1.60816496783552,1.89903341228038,1.43089425278469,1.39610416966817,2.01419485290334,2.16643848707615,1.34827323453665,1.46950041727463,1.63053525519097
"29",2002-04-01,2.0138217866961,1.69763861719469,2.00345069512036,1.50334041403669,1.47785278812676,2.11074353753843,2.26818159538877,1.4266001852156,1.54367008797008,1.73256034071701
"30",2002-07-01,2.14602563015495,1.80231698057687,2.14755946713386,1.57630684219787,1.57156024221579,2.22646871783645,2.38311879105949,1.50866441068059,1.64202314558992,1.85912995477948
"31",2002-10-01,2.26587900219806,1.90918793570081,2.27137340625404,1.65317379101949,1.66163156294189,2.33564138768871,2.47989055066104,1.60906851835217,1.72404800199259,1.97858285291584
"32",2003-01-01,2.34679942240309,1.98314363252803,2.34027715103567,1.70897089320702,1.72820178252473,2.40284777821685,2.53868386998056,1.66694683886636,1.79322779486795,2.06018831811041
"33",2003-04-01,2.40278630719189,2.06581957042984,2.41348689669765,1.80044236491672,1.83158310113814,2.45990244625436,2.57781046970612,1.79859241859478,1.89196730995745,2.16035946552653
"34",2003-07-01,2.43880281204512,2.13738647999973,2.45399091559866,1.88918524146704,1.91565208614975,2.48452401003547,2.58937667135019,1.89690848475365,1.9821998151277,2.23719246595383
"35",2003-10-01,2.49833827648153,2.22174607946945,2.51995326931607,1.97761478312429,2.0067591772147,2.53482690030392,2.63785806241574,1.99736437594768,2.08332216094622,2.30382354473321
"36",2004-01-01,2.55030860119191,2.27345368765736,2.58442920037692,2.04816942408493,2.08137999796141,2.59051850550038,2.68580009378049,2.06421855851372,2.17846931444265,2.36319885565683
"37",2004-04-01,2.64161429744089,2.38343918215062,2.69485178845123,2.20339862043412,2.22339461521919,2.67031214560059,2.76592660168689,2.23528431559907,2.32627489465291,2.47863422987614
"38",2004-07-01,2.72924353479957,2.47914063399889,2.78499868028564,2.31597675916722,2.32679940983154,2.73933583475014,2.83851273690117,2.36058499227035,2.45700527786652,2.58680570399485
"39",2004-10-01,2.77190942328593,2.53411024404651,2.82596506417906,2.37440686957373,2.38551420567703,2.78086453342333,2.87466659248108,2.43325179898491,2.516836003895,2.62483628875526
"40",2005-01-01,2.76248443242294,2.5370150440717,2.81993526732005,2.38461188227872,2.4004637062921,2.7745307979866,2.8634080871728,2.40830845785956,2.52659814026367,2.61703811714393
"41",2005-04-01,2.81026537788748,2.5841999674746,2.86614743876853,2.44504173447431,2.46466589474361,2.80397109655306,2.89125822164666,2.47513903754051,2.57007344113698,2.66192333299336
"42",2005-07-01,2.82655739599323,2.61694112396917,2.89104504671666,2.46942388602617,2.4904924815729,2.82192124880121,2.91344874512673,2.50426963714047,2.61530702602489,2.68186391453136
"43",2005-10-01,2.85466503060752,2.63612249082337,2.92328318792067,2.5105041878125,2.51662565502117,2.84472598833105,2.95372937233444,2.52967339093007,2.62640203785926,2.70336531813586
"44",2006-01-01,2.87569326768695,2.66023311865439,2.94820482093506,2.53005706927155,2.54837903877411,2.87013714363894,2.97664512804298,2.54349163624196,2.65261432007951,2.73321244153237
"45",2006-04-01,2.94518370457165,2.71355838060953,3.02651049746626,2.59258453033117,2.60986182637648,2.93595820417153,3.05031199009784,2.59923011979367,2.71559200580629,2.78752348568705
"46",2006-07-01,3.00023188709545,2.75430304598599,3.08482767986654,2.63047947624266,2.65180478425037,2.99182004170084,3.14420972738329,2.6327863460989,2.76591908639856,2.8319600461984
"47",2006-10-01,3.07187557360308,2.79943621847399,3.15599469424507,2.68689471975553,2.71201705509172,3.06072362129949,3.23113049444427,2.679138019555,2.82115518256527,2.88279895213973
"48",2007-01-01,3.11641761800082,2.82854475596489,3.21241222330603,2.71489936322885,2.7476064404863,3.12171294236309,3.32595967486401,2.7066998053835,2.84509022743335,2.91257475608615
"49",2007-04-01,3.20469509663225,2.8906761986908,3.28473948712235,2.77073870200438,2.81150351365433,3.21289284347496,3.46998581121984,2.77410340235834,2.8997800911309,2.963508172826
"50",2007-07-01,3.26471306209313,2.91749640173878,3.34420291694084,2.81386662668252,2.84495537529736,3.28500797207857,3.59677641936677,2.78827492567807,2.94831534439375,3.00367281413042
"51",2007-10-01,3.29980654465977,2.93531795251757,3.36317656853793,2.82779161562094,2.86548025973893,3.3226945067456,3.65147816600084,2.81622982213518,2.97893930747459,3.00792126860809
"52",2008-01-01,3.26950781648571,2.89978855412496,3.3276520169498,2.80013393627843,2.841700695104,3.29912200280584,3.63706623668602,2.7757979110279,2.93466205867731,2.95973546516488
"53",2008-04-01,3.24677724136501,2.88998209442871,3.29460599204636,2.80505973132628,2.83793848913644,3.27139011460288,3.63682201849326,2.79558292046335,2.91472546578459,2.95705125428647
"54",2008-07-01,3.12152133522294,2.79712639337184,3.16861431465099,2.72860078682916,2.76473296109925,3.15234148247076,3.51106815243081,2.69690874502647,2.84285233732069,2.85012723950197
"55",2008-10-01,2.94749996143847,2.67279145668705,3.00589536678071,2.62468318153957,2.64938290619237,2.97001242139537,3.33332001444915,2.60651380169676,2.76075577262078,2.70853008360232
