Date,Bedfordshire and Hertfordshire,West Midlands,"Herefordshire, Worcestershire and Warwickshire",Shropshire and Staffordshire,"Gloucestershire, Wiltshire and Bath/Bristol area",Dorset and Somerset,Lancashire,West Yorkshire,Hampshire and Isle of Wight,Greater Manchester,"Surrey, East and West Sussex",Outer London - South,Cumbria,Northumberland and Tyne and Wear,East Anglia,East Wales,West Wales and The Valleys,Cheshire,Merseyside,Essex,Kent,Outer London - East and North East,Derbyshire and Nottinghamshire,Tees Valley and Durham,North Yorkshire,South Yorkshire,East Yorkshire and Northern Lincolnshire,Lincolnshire,Inner London - East,Outer London - West and North West,Devon,Cornwall and Isles of Scilly,"Berkshire, Buckinghamshire and Oxfordshire","Leicestershire, Rutland and Northamptonshire",Inner London - West
1996,1.0355398855803546,1.009320741448933,1.0250057147519847,1.008326615066964,1.0309436756004815,1.0290381694108888,0.9882247896709359,0.9970506882092457,1.0376303832835019,1.0058081487744044,1.0441442353342234,1.04627835009081,1.0014446751496218,1.0033520797530076,1.010072973078558,1.0126993092116061,1.0137418487589691,1.007894382800073,0.9973137737095616,1.0237525290358171,1.0267174528368115,1.0416544912017351,1.005568317750557,0.9986599710559712,1.0038108371578838,1.000325007023596,0.9896538883175923,1.0090987617128957,1.0625208241918491,1.0561347666592724,1.0155875956198208,1.0303635991331443,1.0416106196397399,1.0201115045473472,1.0769071718455523
1997,1.1585055598973097,1.0681138187250248,1.106791950178045,1.06173553097257,1.1194530876714732,1.1299698861204845,1.0186696768536487,1.0280014026974176,1.151236128510087,1.0387230538918168,1.1727377092472435,1.1827297920548303,1.0421025068993255,1.045011905030389,1.0851099056333904,1.0751502403267668,1.0523746818647306,1.0600084438846924,1.0266191808919432,1.121584371290522,1.1279146511349285,1.1543234361939256,1.05431218576632,1.0193585448539622,1.0527003789075478,1.0289724056787064,0.9974530165944075,1.0651176148374493,1.205822474425448,1.2059915976472129,1.0911353367321401,1.1153524971511477,1.177819784331765,1.0961603272550853,1.2537031128107323
1998,1.292426923473917,1.1381520940474565,1.1974456294679514,1.1190088023471936,1.2303755220391657,1.2424595591469478,1.0590952166016692,1.0699072139069468,1.2714844539295918,1.0894873246957661,1.3137526496496232,1.3320286334389904,1.0941579580697303,1.099360605526745,1.1790052728339782,1.145488195868019,1.1000392311349705,1.1347917071135567,1.0700820245379878,1.2321223779335604,1.242846279865472,1.293306035323721,1.1130025635615117,1.0510736137169554,1.1150023803046007,1.0706158370286425,1.0250795899439495,1.1264752086793672,1.3595787823125483,1.3650602497058255,1.1714316553745705,1.2142135808169665,1.3183227452411403,1.181317164384207,1.3962044212996878
1999,1.4290722239482747,1.2180182833093387,1.3064721664057861,1.191190275775446,1.3677891271970126,1.3720752280608453,1.103910127986972,1.1208091730361154,1.3976130132847813,1.1578976448065197,1.4570604415392214,1.5016816020619501,1.1561011016084257,1.1577981108719162,1.287273917653834,1.2250815791983727,1.1524931751936198,1.2294587491870188,1.125553794817877,1.3483712237610421,1.3638363917912464,1.4305955201030067,1.1824500492147165,1.0813976496208424,1.1869643437610717,1.1240698806139582,1.0505544558371573,1.197687479858412,1.5456865957573684,1.5391516327182169,1.2696118066140045,1.3245822606255855,1.4677352044591525,1.2812095205936371,1.5657377566050166
2000,1.6739765845599894,1.3453536027292903,1.473882629408938,1.305426560431956,1.5971100410378625,1.5942974073949674,1.1747209858398664,1.2061825440567608,1.6453527812491024,1.260870995801382,1.7149589800403935,1.791433655838008,1.2369734049371768,1.2310809854556761,1.4900890410347964,1.3522840536848095,1.2331735925104914,1.3652054136098688,1.223211078097893,1.5649781469142101,1.5863062509173191,1.6870596155101971,1.2888483699098081,1.136146095816638,1.3271226079501701,1.2037290311186657,1.1062809061631953,1.3174636467615188,1.8412922486758625,1.8146938293228487,1.4559125355345124,1.5069973716957956,1.7297217256542428,1.44495673764622,1.834582297873571
2001,1.847068409514713,1.4953115758695517,1.6262386064695207,1.4289706378286873,1.7751320865691245,1.7700264032911426,1.256218661238642,1.308955045737375,1.8381374325754176,1.371777610636771,1.9041724312343116,1.974402679905133,1.3266054940932352,1.3360802740567062,1.6801063663081643,1.4869136458375354,1.3178992135828314,1.510127776994019,1.3293992713406613,1.7581756638957904,1.7683453628791481,1.9047021639015043,1.422188684368558,1.2018238147701326,1.4957156228822301,1.2974627026168768,1.1812009728842492,1.4774810960287073,2.065827831673472,2.007116300263257,1.6602185324953127,1.693230231933477,1.9068061182234028,1.6091514268610632,2.025898878935863
2002,2.1522317836830434,1.7441919467642983,1.8866185906598902,1.6602832034842585,2.0817016504994896,2.1004009059908837,1.4351262533056113,1.51722746124913,2.1475950226391025,1.568718267268852,2.1894486701744675,2.2741163937650657,1.5090460923557218,1.5804100387543327,2.0015643741512474,1.7457939855753213,1.4957634909756288,1.7477266059902927,1.5210719659258463,2.089084308684681,2.066600390552452,2.253468208617281,1.7103176537118567,1.3668735151126814,1.7841523979907652,1.5137908317678603,1.397288052705995,1.7774823494481757,2.35849097604283,2.3010196532884652,2.0150495011867,2.098535799835821,2.182116335936958,1.900439990232107,2.2577603586236434
2003,2.483804187827875,2.10227729163865,2.2327591831659284,2.007106983995476,2.3932400905727897,2.477245472026199,1.7350254034769566,1.8544818300591217,2.463665607283467,1.866175807704384,2.4804668217129473,2.5709592257600358,1.841193762877061,1.995221144914803,2.322994910087233,2.109852269942339,1.8404911961833679,2.073266756873779,1.8462659008491278,2.452064040024889,2.4180933055545983,2.595095919673159,2.113521223750978,1.6942171391886527,2.14849828800525,1.8817767924406614,1.73805859428589,2.2006321678298604,2.589307255564845,2.5738053041841,2.404844149528448,2.579354347428298,2.4351105196508365,2.274409474259064,2.38273799523189
2004,2.6921789371888636,2.39071188354409,2.514419598983075,2.349459735566253,2.636746366019002,2.7539948744795257,2.1167706008754688,2.1975496834862143,2.679293838518545,2.224923949532062,2.6915836507491213,2.7708130826510438,2.283607500412119,2.39716831077148,2.5915331001179376,2.4623025527223676,2.295309340415953,2.4027022713593627,2.3007634599837306,2.693889283010296,2.6857047560503546,2.816297092914389,2.4331392799627936,2.122641522131651,2.4834060224880057,2.3102886444735407,2.1205622618458992,2.5239623552460984,2.790276789523705,2.768154911479077,2.736537114743647,2.9736332177074716,2.622986736028091,2.5614248974874023,2.5647174588632624
2005,2.814504696354837,2.569179307913773,2.6807643549330766,2.5555123844616676,2.7870127439103434,2.8991812119015354,2.345280111910298,2.422535657628794,2.7848428928709654,2.4632631592130787,2.812004320901142,2.873075743687184,2.524466219634788,2.5865737574010894,2.7474508035149467,2.6685049176131934,2.5396539483008294,2.5936431346641458,2.536536831502203,2.845725845502814,2.8377997931503605,2.9594984418221895,2.600240403068242,2.359989663153562,2.68711248042017,2.547021494627554,2.3274000854648267,2.6874518292808784,2.9266581800747398,2.8632903099981744,2.9185038860344035,3.157650203429548,2.7292897869123722,2.7164224326691255,2.667299196115948
