Date,Hertfordshire,Birmingham,Worcestershire,Dudley,Sandwell,Walsall,Staffordshire CC,Warwickshire,Solihull,"Bath and North East Somerset, North Somerset and South Gloucestershire",Somerset,East Lancashire,Blackburn with Darwen,Mid Lancashire,Calderdale and Kirklees,Bradford,Bournemouth and Poole,Dorset CC,Central Hampshire,Greater Manchester North East,Greater Manchester North West,Brighton and Hove,East Sussex CC,West Sussex (South West),Bromley,"Bristol, City of",East Cumbria,West Cumbria,Northumberland,Cambridgeshire CC,Cardiff and Vale of Glamorgan,Bridgend and Neath Port Talbot,Central Valleys,Cheshire West and Chester,Wirral,Flintshire and Wrexham,Heart of Essex,Essex Thames Gateway,West Essex,Essex Haven Gateway,Suffolk,Croydon,East Surrey,East Kent,Coventry,Cheshire East,Kent Thames Gateway,Bexley and Greenwich,Derby,South and West Derbyshire,Durham CC,Darlington,North Yorkshire CC,"Barnsley, Doncaster and Rotherham",East Riding of Yorkshire,North and North East Lincolnshire,Lincolnshire,Redbridge and Waltham Forest,Tower Hamlets,Hackney and Newham,Enfield,Barnet,Devon CC,Cornwall and Isles of Scilly,Blackpool,Lancaster and Wyre,Gloucestershire,West Surrey,North Hampshire,Berkshire,Brent,Harrow and Hillingdon,Buckinghamshire CC,"Herefordshire, County of","Kingston upon Hull, City of",Breckland and South Norfolk,"Merton, Kingston upon Thames and Sutton",Hounslow and Richmond upon Thames,Liverpool,Sefton,East Merseyside,Chorley and West Lancashire,Powys,Leicestershire CC and Rutland,Leicester,Conwy and Denbighshire,Gwynedd,Leeds,Luton,Manchester,Greater Manchester South West,Greater Manchester South East,Medway,Mid Kent,West Kent,Milton Keynes,Bedford,Haringey and Islington,Camden and City of London,Tyneside,Sunderland,South Nottinghamshire,North Nottinghamshire,East Derbyshire,Nottingham,West Northamptonshire,North Northamptonshire,Oxfordshire,Gwent Valleys,Monmouthshire and Newport,North and West Norfolk,Norwich and East Norfolk,Westminster,Ealing,Peterborough,Plymouth,South Hampshire,Portsmouth,Isle of Wight,West Sussex (North East),Thurrock,Barking & Dagenham and Havering,Sheffield,Swansea,South West Wales,Lewisham and Southwark,Central Bedfordshire,Wiltshire,Southampton,Southend-on-Sea,Stoke-on-Trent,Wandsworth,Lambeth,Kensington & Chelsea and Hammersmith & Fulham,Shropshire CC,Telford and Wrekin,Torbay,South Teesside,Hartlepool and Stockton-on-Tees,Warrington,Wakefield,Wolverhampton,York,Swindon,Isle of Anglesey
1996,1.0388949526107796,1.0117715676529297,1.0261236666000146,1.002588330623561,1.0128206645852462,1.008588791728662,1.0117930699958093,1.0270213440221942,1.0213068797248814,1.0307780416162102,1.019236401027703,0.995853745604506,1.0000516240598123,0.9914112181797959,0.9942481288704309,0.9927464457230234,1.035625001866338,1.0336882992889473,1.0456167923752295,1.005349190197101,1.0064267067278851,1.0540826628760236,1.0307781720981741,1.0471165661913873,1.0434452048769602,1.0377017966972442,1.0101989348775082,0.9892569280826027,1.0023025637205236,1.0197590958218619,1.0143890480326472,1.0136918716086083,1.0025376485156539,1.008943906719263,0.9964701991590165,1.0133532500310778,1.0342729125537307,1.0268088249120988,1.0217592588871693,1.0119268815257907,1.014392450200268,1.0513076882636252,1.0406942065867169,1.0377511675166475,1.0005176412888248,1.007653548512748,1.0149041742273623,1.0356115538457626,1.0054573201893418,1.0107771796955007,1.0076373756953756,1.0011905677775068,1.0053798016788609,0.9953656693230225,0.9974817863199028,0.997250551684486,1.0089485833623781,1.0495121715058462,1.0636268083057165,1.0509223278115933,1.0449924945155162,1.063130241491328,1.0247373523966792,1.0306139944713588,0.9726326879109319,0.9966992351102609,1.031477412621516,1.0474650610643332,1.036647363134742,1.0434637170443295,1.0694350687135643,1.0432359255505752,1.0428931056042572,1.0193151414838577,0.9750930251653451,1.003218593962921,1.043675739766302,1.0500777422548155,1.0038181458622495,0.9949109533749708,0.9941971353410861,1.006591458826229,1.0116629212766557,1.0189036620907506,0.9982244279277888,1.009750010002878,1.035363979499441,0.9996634252414581,1.0302312864479823,1.0008602658798325,1.0124136753280415,1.002635043878867,1.011753778824963,1.0191946151131552,1.0353728166498517,1.029187699606201,1.023268011728451,1.0698471802725409,1.1094291739339437,1.0046372693855525,1.0059214907789271,1.0093345286319828,1.0021763510943338,0.9967550210420678,1.007074961859703,1.0361402257308898,1.0138897388282024,1.0399352478927113,1.0092362315635293,1.0073403077530758,0.9978730903179953,1.003231515443405,1.0230632915962838,1.0586486430530273,1.0002989660998385,0.9836748286146605,1.0324042497093093,1.0365883938977278,1.0337970062778792,1.035801996262125,1.0128075791439612,1.0342526947780326,1.0084975908038636,1.0170582099507604,1.0232048167890775,1.047744724194626,1.0271785135877403,1.0259710123595085,1.0282623079430542,1.0312655892917917,1.0023906205840254,1.0753702991548573,1.0904507455348804,1.0882882044979945,1.024183873271373,0.9939866166748028,1.0175362370937109,0.9884284583834377,0.9891904098066517,1.0050757610768895,1.008698040384495,1.0017647696673713,0.9995661940769935,1.0254886276642172,1.0133085067357408
1997,1.1752320615792786,1.074744396789345,1.1035627377945565,1.0521641774566879,1.0432387369338003,1.0580033533269768,1.0695379240080998,1.121721317409353,1.1042445171124624,1.1159064900358444,1.0948811256785773,1.0004117794313812,1.030216549738136,1.027077080438211,1.024460794828171,1.0085351602579318,1.1597931031073734,1.1475501583551422,1.1609057698020917,1.034275731061971,1.0290304991237402,1.181052712235783,1.1295860588315867,1.1756661513873448,1.175172332817877,1.142568674988908,1.0458651960917378,1.0379532278633408,1.0520659974597282,1.1083251289053933,1.085649571779504,1.0440996993796057,1.0229601676722078,1.0556042367132314,1.0449864605385557,1.0510927856773062,1.1541995267329683,1.1216204507250267,1.1269375917448266,1.0967539464291893,1.09164322685104,1.1778442990737161,1.1918868479805063,1.1245627416741069,1.0697010130540847,1.0714765284295535,1.1093562938402797,1.1491629648873827,1.0410122788511227,1.0627222003987289,1.0316579638267651,1.0376890594580384,1.0533425554079148,1.0192202530264245,1.0113034813050468,1.020588211851859,1.0660417693729638,1.1624323823193339,1.2139738996367426,1.1709949893301161,1.1727266332401192,1.2021452613162682,1.1039729668266436,1.1168412867974729,1.0227356700575154,1.0333560153637709,1.121159020053717,1.1952629659976737,1.1806846316321993,1.1947596547036714,1.2190633630648386,1.1860911291468745,1.1853878373891475,1.079219355335129,0.9532622521643391,1.0706091196525078,1.188187614217729,1.2121089231524227,1.0254524385447774,1.0308611821512714,1.0137166353197467,1.0514580529715234,1.077133655129061,1.0867764132719497,1.0445380132490596,1.059608413644694,1.0835594876126557,1.0428041612237966,1.1190026864167735,1.0376974685653109,1.0640198473880598,1.0459913003905672,1.1057765463294265,1.1232949456243513,1.172630435129415,1.125119302095177,1.114779761574524,1.241251423042367,1.2630037164907413,1.047300371424322,1.0293085571679161,1.0774795525646534,1.0459001993899837,1.0318025776907545,1.0596304692329723,1.1460394627219954,1.0782543108003773,1.1713969837825375,1.056579356805017,1.0753244958711714,1.0620919473020818,1.069408669283175,1.2015090304910994,1.225524397714525,1.0554985105044197,1.0459370590898676,1.132943522000735,1.1379942484125427,1.1374933394041116,1.160860871637149,1.0946938223865417,1.1344358383701942,1.0460635392719875,1.0550421345366732,1.0647782477608274,1.1826672384622006,1.1432356476021575,1.1200211351143463,1.1315761588281577,1.1460655067686765,1.0360786037021197,1.27185016670476,1.2433255833701986,1.2727768373749657,1.0862977755337047,1.0389906697695774,1.0956782554391318,0.9926234807480394,1.013094081880912,1.046259471759421,1.0365476458495373,1.0632608934809524,1.0519865870404772,1.0970253027898016,1.0856435749982285
1998,1.316276152112113,1.146603845722,1.1891497807798863,1.109700351055373,1.0853655732545406,1.1057505613522445,1.1362492234107895,1.2222927584492294,1.2232818751887193,1.2205857143391574,1.1899934093558342,1.028141819046998,1.0524062817031496,1.0645398382127789,1.0570589121531813,1.0424659418063427,1.2919195214724049,1.2650124498813275,1.2915440960955715,1.0717310525374704,1.0593555613479024,1.3183182845844215,1.2512284413819663,1.3036404012880332,1.3320097800461086,1.2596613010171458,1.1033431392455515,1.0806480215989813,1.099845528995972,1.2285888973138226,1.1610653572202465,1.0815448386115734,1.057572552472554,1.127636644008498,1.1050761770041773,1.111299158822087,1.2811038423719763,1.2239849408467083,1.2405503003132177,1.2046915669791978,1.185405041796414,1.3235794502770013,1.3402267805005814,1.22036903627317,1.1566479089051598,1.1520679413198256,1.2274412655486229,1.295391625653402,1.1006473732458881,1.1224894623978183,1.0730258952434564,1.0755421358150188,1.1160976935219844,1.0496947758002095,1.0422530723187693,1.0586148210074877,1.1270407638189113,1.296359422088741,1.366306648517506,1.3097308824285094,1.30895754906315,1.3557037138080394,1.19241473093491,1.2165391985323992,1.0542910580560196,1.0777910803900608,1.2279634028229303,1.353677983402171,1.3191924843925267,1.3414467577829483,1.3868998991676296,1.3331369918762983,1.3308859126025228,1.1569662741887006,0.9536151296166958,1.1543705032886795,1.3395485621928362,1.3887152423108182,1.0569735552940636,1.0918853511287958,1.0403976430509727,1.1098548005327589,1.1385820748320337,1.1569580551344012,1.1150130172675998,1.108047363202737,1.1463909980127,1.0996547561076406,1.2268264348885625,1.1116245821745396,1.1340773860936932,1.0999568762325351,1.217125664773721,1.2402666615702729,1.307648900051996,1.2455316808001102,1.2404547975847837,1.4062580035998289,1.4180328489392116,1.1084390397577135,1.0671186237398735,1.1448725421753183,1.094945350824186,1.0841847433601637,1.1092351406019698,1.2604301518855463,1.161544387524396,1.3099175645785157,1.1006247865403045,1.1470900389013994,1.1430581440864656,1.1401071458521868,1.3227161733871593,1.3845434465239228,1.1271586509171962,1.097261552183853,1.240634319854185,1.240261800494701,1.2470621915052214,1.3106400893051235,1.1954244913344008,1.2680588477710664,1.1026385834943297,1.0919228769550562,1.1329382208056686,1.3203847438293466,1.26186884074279,1.2392494284679971,1.2419785551084512,1.2532886423617189,1.0546393904523803,1.4524875202006964,1.4314526412399884,1.404258487558434,1.152053829969918,1.0835110099423952,1.172946355783873,1.0230309386544547,1.0270957463548054,1.1141938662149806,1.0679576528663428,1.1063732564315956,1.1121844777619847,1.2144698821591051,1.1278525086449147
1999,1.4575239035987146,1.2351955768652552,1.2899725168820266,1.1769252619218273,1.1377210915956537,1.1641922183609006,1.2103340189588496,1.335563449671246,1.3400422831730157,1.3506236615618696,1.3078805885214377,1.0530532629249214,1.073228482051596,1.125844112706874,1.1004181605693257,1.077064478412523,1.429334063701985,1.4045592388765342,1.4237558802812476,1.116982712295044,1.10201595717828,1.5033152032446793,1.370352254133199,1.4312898536453083,1.4990156898692584,1.425489690246716,1.1655885592369073,1.1415695849765837,1.155837030257912,1.3419307124638595,1.2544301414125578,1.1220034876054379,1.1004058882856769,1.226078160623872,1.169898760977317,1.1769172250587994,1.4082244295060815,1.334042626842007,1.3751732421333656,1.3115695760131731,1.3055914114364666,1.4879644980794906,1.489838837301344,1.3347122332352703,1.2420458050580396,1.2504035072059785,1.3381934758563285,1.4371742187945071,1.1779503805411746,1.1932904445057302,1.1100390508941738,1.1057119881115185,1.1836927270378144,1.0903001375943728,1.075877752609055,1.0829729870001295,1.197223830423432,1.4435056692666717,1.5304818893083072,1.5108389512986642,1.4518809619580382,1.5154564911363402,1.300749344230457,1.3257395764136664,1.097477834658346,1.134361608857897,1.3515113926707063,1.5106183223277825,1.4627896292923925,1.5024284678491577,1.5652766630791952,1.500285525339393,1.4710904965533078,1.2729222816612333,0.9661394182225641,1.25932877573942,1.5118721605910823,1.559300433599598,1.0977233685408099,1.1532628595034766,1.092739851654074,1.1616987137259442,1.1867618207338806,1.248373178892078,1.1854006418806977,1.1779725950142739,1.2179580047171386,1.1698349888777555,1.365372319636187,1.2044972854781673,1.226548346377069,1.1876409686711664,1.338094832157305,1.3616707789546583,1.44474139673711,1.3720844331495397,1.36576634238621,1.5940372440611954,1.5863605359062831,1.1698028905924194,1.1169532712882646,1.2333022120515496,1.1499948993745748,1.1289378814043505,1.1822409716155626,1.3849017114028983,1.258544122194225,1.4601633305615906,1.1464920745688711,1.21983360847287,1.2454628666166356,1.231631339559674,1.466356952326676,1.5933487233942156,1.2079653670199975,1.1702209293689234,1.350990812060003,1.3495041467895599,1.3798578654766678,1.4575841460349217,1.291679783972535,1.387332453137677,1.1711135501494359,1.1474409903918537,1.1670218662426084,1.5060720350273382,1.390069662846683,1.3811688158349769,1.3666981156026907,1.3665316788958197,1.0885964550138374,1.6671936907865699,1.6389342717225017,1.5632715849675412,1.2452069188527715,1.1494519957211973,1.260456768821796,1.0466472028183018,1.05107622161501,1.1923921083224975,1.107122224455726,1.1716800015810516,1.1943965431289782,1.3728664745617398,1.213104871756452
2000,1.7122451685642648,1.3708154255209402,1.4642180063301846,1.2799868622449069,1.212287366410437,1.271900743804237,1.330841350446241,1.4958518465235329,1.52438129279283,1.5807466814209716,1.5141879701488765,1.116062484879491,1.1246623874485577,1.1973071976890617,1.1653735393956253,1.1471067828770782,1.6694105015282987,1.6366090931285167,1.6821739454986135,1.1945676637243656,1.1762848048311805,1.8536676949142454,1.603986431547834,1.6854612950705532,1.7790464351594908,1.6601363561354407,1.2554151419824666,1.2104996849411718,1.2221350730646126,1.5596382515532332,1.403813521354481,1.1856200885975439,1.166378012134431,1.3594932097412256,1.2802646764035435,1.2863312897893817,1.637042258232388,1.5494451138028413,1.6000559084691692,1.5238802661628856,1.516938530507797,1.7880581200886108,1.7523216201367027,1.5534833445858514,1.3941582536128359,1.3897480221042013,1.559578968879505,1.685251621526389,1.2910677145551717,1.3113182785795543,1.1704874731381703,1.1653706708321878,1.3118456493350499,1.1480437697324186,1.1489298301262123,1.1300433574929274,1.3178491471422378,1.7226949458532457,1.7859345537540048,1.8216606635544375,1.7360567759154073,1.7969657799527308,1.5034026073641062,1.5095336234642536,1.1547873176619698,1.2082081438989223,1.5656472169544764,1.7737365251776498,1.7249374062329366,1.7890280575106592,1.892870711535574,1.765461429904515,1.7189440293530929,1.4482326055333419,1.0000315325081204,1.469407758762348,1.805419700265752,1.8416439944063572,1.1840114495913285,1.2496262615091733,1.188018358433005,1.2533454362799454,1.301426294023795,1.396182486974071,1.2935582258729144,1.2658870532560322,1.314677280764913,1.2871259968941073,1.6017464779309574,1.337144996124458,1.3573834689197475,1.304887058599469,1.5484436100828385,1.5885650104854847,1.6862911583066553,1.6073271275832728,1.5875202116220593,1.8813430920707723,1.8705205571675505,1.249707309973578,1.1711989262151288,1.3721353294281267,1.2238036474430314,1.2198053566065925,1.2776037690255628,1.6005131377711546,1.4213608891682927,1.718495419948539,1.2231794550982669,1.3271236619851745,1.423523133175677,1.4399603052267724,1.675152727800763,1.8590895354758077,1.3567192285194731,1.3171587686023523,1.5850217185001625,1.5614362058647036,1.631874398232671,1.7220566880466848,1.516900469567484,1.6225106918611,1.2866652615474918,1.2327235094839586,1.2553750456019102,1.8184606599666095,1.6224930905885435,1.617746095477781,1.6284644679861693,1.58000087933054,1.128682497298546,1.994916299557867,1.9922163894551728,1.8358469161961009,1.4000193081835917,1.2575757254985254,1.4391908221524818,1.0877624295846464,1.1027103239150788,1.329174509030363,1.171280449118008,1.284024290845999,1.3749680487974392,1.641914646517069,1.3115305421268706
2001,1.8879176242105944,1.5329905011288436,1.6218103921006857,1.428145186686551,1.3385462251962144,1.3895495618808757,1.4567802914309067,1.6472796441236182,1.669934724300427,1.756969321406065,1.6786442085151234,1.1689539705205882,1.1697949252723883,1.3067070885908638,1.2516101879720622,1.2215168550635613,1.8474415232194326,1.824037627107343,1.873081280603869,1.2815107910464008,1.2685393953903843,2.1170028181497904,1.7915379443678505,1.8865985208229785,1.948588557690025,1.8663179578541462,1.353823926346933,1.2855503602726681,1.3167095972265472,1.7516308528492173,1.5526400975931973,1.246096085817235,1.2319795602619814,1.5041313834653474,1.400515194510453,1.409841076793806,1.8363240691481133,1.755920064042441,1.7762895442409976,1.7163509270246227,1.7008815712909393,1.9981891884635539,1.928848167296913,1.7463088788963546,1.5598122112222919,1.536104059344034,1.753533161531011,1.9027799868710107,1.4386813941707959,1.4603755235282727,1.2331070996585711,1.2637869432993778,1.4613950540127572,1.2224580152581432,1.2470338195383053,1.2006245216320774,1.4781039933704345,1.9517651990006701,2.029598088104716,2.083357110317293,1.938690021047702,1.994742398660454,1.7129509880830287,1.6960462744716038,1.22313087579347,1.2966192348769907,1.7436652600875757,1.9486748755413748,1.8891413584456955,1.9667964540148493,2.0853993670405075,1.9645001465118936,1.8856570683347347,1.5902799093805573,1.0410712459597218,1.6658769841080625,1.9851609204882419,2.013173523156204,1.2878728766757785,1.386187112714587,1.2713224112796422,1.3626112512290507,1.4219606122358541,1.5584761021840314,1.4518334312724996,1.3753738452055035,1.4191161781223285,1.4297396206150212,1.7714999674269896,1.4449994839919211,1.504545593990992,1.4417164877295665,1.7385947543873737,1.741308106722963,1.8627850225695928,1.7915664055610552,1.743659203806515,2.085914641611785,2.0771546466390713,1.361085167247648,1.2747898215128246,1.541883360172041,1.3143099185143252,1.3154510432035658,1.434808072927029,1.7679082251241292,1.589164069837841,1.8988849023961683,1.302129948807227,1.4499153341815054,1.6258560511238827,1.6375455639717074,1.8652382667511627,2.0630585502635554,1.5452847551425517,1.5112390748296873,1.7946586429040212,1.7554540602631623,1.851802717340189,1.9100278463237614,1.7178310875696579,1.8371035745798916,1.4112879286941742,1.3018393410398963,1.3715160866908862,2.0430614442314097,1.7950020335401848,1.7880722854712214,1.8266025843170925,1.7764175022834712,1.1831121915589589,2.1860676037769053,2.2144981871870737,2.0168606169008894,1.5596679317253717,1.3954286883584601,1.63965644949303,1.1470352711722704,1.1591184257647849,1.4716658316574935,1.2585352715073304,1.4199799476969657,1.5985706899679482,1.8115604599116695,1.4097150295761132
2002,2.1878974483038793,1.794818345649775,1.883431526207098,1.6849003447651134,1.570705645197864,1.633659186534483,1.694161763748782,1.9125475842595931,1.9277340402559069,2.085745800273235,1.9949718384440223,1.3018442106062191,1.275687587086423,1.5116098881148012,1.4458119380009642,1.3735019235805674,2.2117457857185006,2.147377388186321,2.1695867660802426,1.4739845299815952,1.4377637253315558,2.4888833723305512,2.1046216081327076,2.2114249231413976,2.237448364767935,2.2542451395696146,1.5723850876702443,1.434409690640633,1.5455761971844864,2.0456945498067833,1.8384292962755198,1.3659794431749814,1.3811033871784102,1.7343762370560878,1.6290929390471307,1.644207368027311,2.1813768530871362,2.0839872889915902,2.0727727261120306,2.0560379167082825,2.0252360635383733,2.329144213542715,2.1870855321903977,2.063805216153823,1.803625384315476,1.7683337816316012,2.0523119281079074,2.2258592952436227,1.750968700398439,1.7367217492988882,1.3963206149500074,1.452578746764059,1.741367041503831,1.4204735321741013,1.5272079957176499,1.4010114929887514,1.7811732034372778,2.347362712453761,2.2883611293496413,2.4291919757940783,2.2685513799049306,2.2979142362149094,2.08038239855798,2.112460165795491,1.4185290008845624,1.517048759540587,2.045020127214787,2.2068773875335337,2.156601537915966,2.228060384570841,2.430215812831776,2.2808858444581763,2.1483161877622434,1.8389790235519534,1.2084918301940255,2.013537796246975,2.279158678597233,2.2808020971125758,1.460078920388922,1.6033791489912572,1.450645932404581,1.5724823453081698,1.6759174021124297,1.8538468287444048,1.789559517885706,1.6447134522005133,1.684026341083744,1.6882987811821153,2.1094396335823165,1.647923386671493,1.7309258431956955,1.648601453129487,2.0599201374722558,2.0324548794506776,2.141810735565072,2.1296952444760793,2.0716829806360795,2.3737184027813485,2.324906025896842,1.6259850417934876,1.4920588588060795,1.856091484369666,1.5948287659819143,1.5450524296578099,1.7850871307245053,2.0507133777494038,1.8814551583222596,2.190396829350702,1.4724182225358413,1.6762277143386228,1.958193836626475,2.0106953654697186,2.0918848044570586,2.35164593487865,1.8670567204154764,1.8804171025277994,2.12327504525408,2.112130728906785,2.189319972411381,2.192784229795648,2.072870467191784,2.2105996874628953,1.6680552686706067,1.4621484400403875,1.5809653650005797,2.3652126579982324,2.11165806586009,2.057055687306136,2.1970077647221413,2.146019189487173,1.3370081892877048,2.450709873291333,2.470051645190099,2.220180334509931,1.8366456934336537,1.6837959165799194,1.9644666608081387,1.2946296592803326,1.3356276113267629,1.744081045693935,1.5013436107633158,1.6752087002191864,1.9362246116957793,2.0908371416933353,1.6343567828014594
2003,2.5038573461145353,2.178890522459538,2.2474524388046215,2.014152792860178,1.9362381511321067,1.9859170150366152,2.070322528252785,2.246536578983456,2.281328591078296,2.4166115329395113,2.3866934051708713,1.5249646805202524,1.5422595129633725,1.8655622347254932,1.796212627537347,1.6508358861085133,2.6010084163115335,2.5095916109451575,2.4765846304745516,1.7593699425608242,1.7674030903583124,2.780557120914522,2.4748517019943783,2.5674263995200683,2.544682728043011,2.5883653632083403,1.934473193676971,1.7342572761083965,1.9892615861041194,2.341286837477258,2.2006568094625045,1.6729321058698445,1.673573134133601,2.061411891360502,1.9847154019410378,2.02916908531807,2.5452056732994586,2.489803762672033,2.3825946816350814,2.4270543408945198,2.3645162875357,2.6656081776176737,2.4671401539074185,2.4526625958745556,2.159069387829579,2.1002443460158875,2.44331047190293,2.550037858466076,2.204150884403344,2.1475019203079073,1.7424177596991481,1.8575644831435034,2.125066954202661,1.807859767160935,1.9122157171447807,1.785486459689493,2.209846486787802,2.703720932716486,2.4582750958598836,2.744956966119472,2.5826231090403398,2.584083396881594,2.494303263452623,2.602282517727846,1.7303065027544162,1.8792640311251687,2.36425708667887,2.440215846485555,2.4216062558650737,2.444948713405094,2.7594254452833016,2.6020194187531254,2.42182564823865,2.2013242192625087,1.4768885831230918,2.346292909276091,2.5564762575307296,2.5017582480276475,1.7676939598855588,1.9508457994052177,1.7817526760752667,1.9430403530723936,2.0490509619614325,2.2502626448445873,2.240117383336579,2.0367633104982183,2.120119418655708,2.059975052029999,2.5459752829700357,1.8771118943670488,2.0595891498186667,1.9873534619170545,2.4429033324530303,2.378210129726912,2.4238706270757113,2.482056247974828,2.421876557297074,2.575767749183054,2.4637244142935186,2.0601421491098604,1.8527261489616837,2.273830769864773,2.015190822813567,1.9496212744855006,2.160413662505556,2.3980779600391346,2.250618678775339,2.457581770540445,1.8160773139704984,2.0516778860312916,2.3133194051745525,2.3426268436090947,2.211015166100591,2.6279248834986695,2.1909627874765563,2.221066552519278,2.4733996154438773,2.4729449500678276,2.5653918187988314,2.509594894101051,2.476916366324652,2.606147835389663,2.022107599437471,1.8017747841379341,1.9993123172230094,2.6319933152266013,2.4619302672269456,2.3817534357984766,2.5568311901590057,2.536926060722385,1.6235531975150626,2.60238124754719,2.670355093058554,2.3113094141223662,2.2036326858543727,2.0455163957058216,2.351679448451922,1.5824025195031577,1.6537429032932898,2.07423816631497,1.911160076074535,2.032178865777559,2.2725393351677066,2.3380196553999983,2.0618546919327665
2004,2.707721135100358,2.441588998740428,2.5309859236142795,2.303370017744483,2.2604887262189317,2.318013785245422,2.40264491735079,2.5194495581131306,2.558438236229441,2.6784963445059553,2.6990808451138713,1.8875818767066914,1.9622554383018007,2.270399568881462,2.195695145352391,2.020073763804105,2.857336394466128,2.7704821440087772,2.6831923250992165,2.1591687578896237,2.1706745380930363,3.0585947957350723,2.709658650391146,2.8014126802170627,2.751746573022045,2.8465263003635024,2.378558587384693,2.2091085082701327,2.4080991202744597,2.587425245394179,2.527377210270083,2.1088794673197304,2.0839104924964,2.4108006733946503,2.4692297363196603,2.4373413895183678,2.7780704217666816,2.727936316147339,2.58182632096993,2.6842184928000514,2.634560822637675,2.870131982911086,2.6551361180145356,2.7941620965160143,2.5116687252370444,2.4193722275999234,2.685654024881533,2.7586529364698356,2.5364327777372413,2.4816068548499164,2.194722871303732,2.2812581792098166,2.471574802321658,2.2537547217532383,2.305459225767838,2.1956541206962297,2.538126445927558,2.944150659526376,2.6353987565602632,2.9349009333895273,2.7744246831325405,2.789783818204686,2.8122076653678985,3.0051510911108212,2.141173513069203,2.299820605078679,2.632276879040161,2.6014028076781783,2.591645409154318,2.617275180321631,2.9616476973906214,2.801299038099761,2.6091506096544905,2.5267369399102235,1.837958158777713,2.6274031752203246,2.753704720973256,2.6901460141884415,2.2965190479790287,2.334870758642255,2.2261968560611494,2.3481255063701276,2.4411209110388965,2.554083821653155,2.592423298141892,2.447985458193094,2.6558749624881943,2.368122411064913,2.7655328665865953,2.1728013593192146,2.433982097503564,2.35336130897406,2.702368171437016,2.6289476284465505,2.6585162478966016,2.714626162853901,2.6658198310299097,2.784832833165686,2.637340639032074,2.4783845507736166,2.2430190122485545,2.5252749599085544,2.3829366695873144,2.3471498459224045,2.3960875238039767,2.652749459122022,2.5491320160172894,2.649758412760873,2.2642970409131813,2.4328591279892877,2.6117650327998647,2.6261124707387475,2.3548407235290445,2.810866007422579,2.4897054247802095,2.6099002475722743,2.6931883488677366,2.7265401567734497,2.9229501878225417,2.7355731960074445,2.7189395700355252,2.8533241475617896,2.4526538937188294,2.333541002809932,2.52377810147405,2.8287233407473655,2.6762084883603943,2.6266601149394755,2.7667642683126523,2.8529306648949775,2.066065884705644,2.819675074486754,2.902819069094833,2.4902580347562187,2.5374213003610775,2.3565616805422263,2.687964300716388,2.0379293499125413,2.066307390794082,2.4326903593681846,2.2511242653353607,2.3414743087567116,2.6017781662632284,2.506639628659143,2.6392193912971984
2005,2.809742400848258,2.610141664730406,2.687835781465488,2.4889519480054396,2.4633190854886995,2.5156716475361884,2.6069235637690005,2.691814025875459,2.706011638504307,2.8329644984019056,2.852472917616008,2.1775501704982765,2.2389331897928177,2.494226128425783,2.4490668797227424,2.2970428222315538,2.9631321756553493,2.9453557427061114,2.7861765226663238,2.428823967573034,2.42840371484394,3.221691986598364,2.8526641117976266,2.9386957434299372,2.84404622590968,3.0091516088250243,2.5868524168356917,2.5006728179303805,2.6230331855844518,2.7124633985862494,2.7169482356418304,2.3615160699496736,2.331580560459557,2.595357606653719,2.6808566866441796,2.6883915072152376,2.9111042751855125,2.871281656862429,2.7120939515739577,2.837626604853155,2.7985493562699326,2.98528091818254,2.7574448642152003,2.9783157846079082,2.703194435487988,2.6155341813898327,2.822946333920134,2.9098172064902683,2.7310839925452246,2.6773743656583293,2.4548872603668213,2.4768197288915443,2.6930097307030003,2.536743339820642,2.497202073149986,2.4008718739205963,2.701682490829684,3.093298801040609,2.74242366621609,3.1214104084004206,2.88938959341069,2.8435209954621503,2.9861546890187,3.1877067204567915,2.356118561695895,2.4922279258933817,2.807855064996081,2.68601160186462,2.6417604092091005,2.700534610730759,3.1048764276669627,2.898743359530962,2.7127487099664673,2.710480979540264,2.0827847047989776,2.806590715330801,2.8498426079835983,2.773714742086267,2.530220603027812,2.5938516190208083,2.4814043839008884,2.5480522768130727,2.6973838358829694,2.7087068805350345,2.7212374171894202,2.7051225790641475,2.962884310347198,2.559040126016178,2.9266784731328985,2.3983949751157017,2.654097867629084,2.607963242141606,2.8492546733621626,2.7842283433994854,2.7771291772394213,2.8494968742134335,2.8391922148559883,2.8967037351091776,2.742425112171555,2.6489768054627203,2.49385508096605,2.648247011733362,2.5430777438662466,2.602841835462129,2.536297667132666,2.8086855808058107,2.718887113535813,2.7713458812094807,2.5331271493843284,2.6437680976136435,2.800452439573036,2.777588567103783,2.44370770765219,2.920286477406834,2.6569449419645927,2.829102849294447,2.801740968121684,2.8421262261314935,3.1645811171109686,2.8375156745083197,2.9041717727760044,2.9942068364108816,2.651451213168524,2.5099809772993904,2.782660699456599,2.9782457695473985,2.818598855506119,2.77022486390685,2.8622623573071038,3.028522668860608,2.3150831254242994,2.940243073079816,3.025194975749836,2.572260968736407,2.7333455499073116,2.538400095796128,2.8659855234280887,2.3059896036968444,2.2945270991505753,2.631849730529237,2.475995068532565,2.560156697931168,2.7700359961902263,2.5705718912800544,2.926920013135772
