"","Date","Bedfordshire and Hertfordshire","West Midlands","Herefordshire, Worcestershire and Warwickshire","Shropshire and Staffordshire","Gloucestershire, Wiltshire and Bristol/Bath area","Dorset and Somerset","Lancashire","North Yorkshire","West Yorkshire","Hampshire and Isle of Wight","Greater Manchester","Surrey, East and West Sussex","Outer London - South","Inner London - East","Kent","Outer London - East and North East","Cumbria","Northumberland and Tyne and Wear","East Anglia","Essex","East Wales","West Wales and The Valleys","Cheshire","Merseyside","Leicestershire, Rutland and Northamptonshire","Derbyshire and Nottinghamshire","Tees Valley and Durham","South Yorkshire","East Yorkshire and Northern Lincolnshire","Lincolnshire","Devon","Inner London - West","Outer London - West and North West","Cornwall and Isles of Scilly","Berkshire, Buckinghamshire and Oxfordshire"
"1",1995-02-01,1.01556478359251,1.00299864704328,1.00559234324897,1.0237111786174,1.0176536175928,1.01316984525587,1.00421012341799,1.00327661963649,1.01035815592837,1.00095689892609,1.01126160361308,0.993833680155636,1.00688990274085,1.00167237403154,1.00845606407154,1.00953239955828,1.03737026060623,0.987071466758872,1.01492735159274,1.0200386423614,1.01945249309827,0.973757971888589,1.01883765946645,1.03202838345098,1.01626982698746,0.979345689344957,0.999533303816329,0.998534025464462,1.02184184967515,0.999245933895564,0.993933265221189,1.00274678195852,1.00468271237116,1.03761493056955,1.01030794741073
"2",1995-03-01,1.01006427471099,1.00549130804064,0.999062191383458,1.01349854639234,1.02140089072886,1.01491209803324,1.00512418356765,1.01447612648437,1.0135387468706,0.999365511833543,1.02484850896662,0.998719342955667,1.01158426132177,1.03508078958659,1.00736573135192,1.01940083133144,1.04216740543586,1.00787007103738,1.01832982386381,1.02717052694474,1.01076117692056,0.984485703353787,1.01026324689934,1.02046525209157,1.00565868666442,0.994665887637247,0.996158149074932,1.00550596811014,1.00376159857147,1.001222016455,0.98692211065637,1.01900439476686,1.00804159376395,1.00761682985459,1.00880552892242
"3",1995-04-01,1.01487521483228,0.983770322450485,0.995150965838937,1.00554733692877,1.01714828137144,1.01140631317157,1.01196604453213,1.01975461053085,1.00727138937928,1.00617348287254,1.01172323346789,1.00324449332285,1.00965318628439,1.01490929641654,1.00573448895641,1.01904038676383,1.03907010760665,1.011643973484,1.00995024842462,1.01588905576972,1.00161709247212,0.980653830292827,1.01573251083158,1.01120547003842,1.01906588025168,0.988918193803511,1.00189521827953,0.990180599253524,1.02792014426289,0.99992627020688,0.990747660014894,1.02488464778459,1.0108257660631,1.01808007968214,1.00290318929614
"4",1995-05-01,1.01420421831071,0.993541134845336,1.00012303774376,1.0179483530646,1.01732158408181,1.01601593682623,1.00825537444403,1.00919777033345,1.00040548955202,1.00755370484439,1.02778470060964,1.0037809969593,1.01417167053534,1.03624583405243,1.00483991861289,1.01802644960982,1.02817942660778,1.00210910653849,1.02105450603638,1.02265651595997,1.00393002975859,1.00192195219523,1.02206248981583,1.00802047741556,1.01706707912031,0.989581926124958,1.00982703378517,1.00502283884415,1.00119212138899,0.999797774991276,0.984155522167225,1.0108136305407,1.02466861608822,1.02695336434448,1.00397599529868
"5",1995-06-01,1.0147803614792,1.00614332092492,1.0128991554931,1.01750301245708,1.02912194017959,1.01878142792394,0.989394081825516,1.0136634216419,1.00679357781618,1.00728527704086,1.02377096949142,1.01480192820228,1.02823299895927,1.04993224877267,1.00919648617416,1.03397151798897,1.04500359918537,1.00163221227401,1.01713513956002,1.02037355497926,1.00640169638227,0.996228484698826,1.02912508314444,1.0110122497267,1.03452723126036,1.00144155396558,1.00112717415585,1.00103634274168,1.01418806898181,0.991720219971401,1.00110490552482,1.01484810908655,1.02518715257385,1.03316135321335,1.01963013563356
"6",1995-07-01,1.01064969384514,0.991584620919588,1.00779167224794,1.0075575865494,1.01090229942728,1.0071575222619,0.992921751886475,1.00509293326686,1.01049597134648,1.00565863433575,1.00520458530462,1.00349504608604,1.01459016404416,1.03544766520569,1.00305807449658,1.0122248471064,1.01873454876633,0.995208037222157,1.01500071134793,1.02284584913136,0.995185612973769,0.983066226169798,1.01395040547027,0.996544729817595,1.01733427307091,0.987007806753564,0.993961890628006,0.99464636856546,0.997002641904942,0.996684191201236,0.986082916737465,1.03236315663637,1.03009906310836,1.02022077671654,1.00442225456829
"7",1995-08-01,1.00962755530273,0.986157490022109,0.997785925117166,1.00981438016471,1.01641822910248,1.00663242977243,0.992495222509731,0.998939322125457,0.990165437811988,1.00633912297382,1.00785242847018,1.00882427558431,1.01502393646261,1.04326467905405,1.00563323333711,1.01805021672971,1.00737279014734,0.9915176392433,1.01425938628561,1.0154733208256,1.00074349536828,0.983606596673915,1.01945129912911,1.00371010064296,1.00829941751638,0.982240012222691,0.98748418141295,0.987493046750927,1.00813134833265,0.987018026018217,0.994471009566459,1.0383855532392,1.02429098370372,1.01486069023538,1.01051570209846
"8",1995-09-01,1.0104725972635,0.992902103110893,0.998000632951335,1.00086047909388,1.02345456219579,1.01081514051363,1.00086775899015,1.00616752187251,1.0021902044107,1.00847521875845,1.00747747089047,1.00431373417203,1.02081159448317,1.04208181322843,1.00318251345778,1.0102505919386,1.01832865872211,0.999143406003078,1.01387449135157,1.02074045987924,1.00405927833013,0.994013114162548,1.02752961796165,0.997825163453299,1.02414893758304,0.993944618719676,0.992891440293574,1.00883745295737,0.995743575410881,0.999655743570602,0.98442742771092,1.02613488176162,1.03582539164444,1.01630918072641,1.01339538288474
"9",1995-10-01,1.00511349968559,1.00526488746469,1.00148978124443,1.01645981731827,1.01121398506601,1.00765551091405,0.981324287517854,1.01781181649337,1.00510459949026,1.00830787381668,1.0071845370316,1.00552630524862,1.0185254161985,1.0602944879838,1.00743707319951,1.01398248874663,1.02131990646881,0.995478703843082,1.01169084303438,1.00801981930396,0.990915485741895,0.972543340349747,1.01973950377092,0.977501308367024,1.00624657170394,0.988688989369603,1.00029279710877,0.989556587772723,0.994690880555502,0.985289535774774,0.98126766946722,1.06204696940745,1.03859876353623,1.03180492380133,1.01322033844901
"10",1995-11-01,1.02335606176926,0.995859986916479,1.00939858688474,1.01630073458747,1.01760263395948,1.01256682792947,1.00054645574972,1.02026398966327,1.00570782382775,1.01445804397722,1.01624924085266,1.01051769681301,1.0225350755794,1.04667414497463,1.00925380878072,1.01243104456392,1.0147785211972,1.00477739863049,1.02175583024942,1.02208129855461,1.00111864493489,1.00180229383517,1.01074502216044,0.984963341781895,1.01676094719905,0.986209912369218,0.987820805551397,1.00356622861335,0.991350452199535,1.00130064295774,0.972943802698583,1.06072521379543,1.0293950748997,1.02517678515461,1.0155195247005
