Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1995 Q2,1.0052404866051614,1.0007991526621198,1.0055552568653017,1.0023102564766333,1.0000754913820071,1.0065507065584038,1.0149048067572795,1.0040078301703255,0.9998568384976592,1.0046306547859563
1995 Q3,1.0025194653473286,0.9917762031094085,0.9999370958686786,0.9914482500480932,0.9941314651252283,1.0060063989222139,1.0176217073240374,0.9932378220690476,0.9952557756906565,0.9999697840913617
1995 Q4,1.007271519165269,1.0038401647502129,1.0008763724777063,0.9915555745404774,0.9967027129936724,1.0122593649072635,1.0283274621756882,0.9997126164383944,0.9944890359716019,0.9982926974193125
1996 Q1,1.000821406637303,0.995709986627504,1.0051281720932967,0.9911230485814079,0.9880647111141355,1.0182841476289595,1.039715589604469,0.9898732677995923,0.992601944912316,0.9996048746097401
1996 Q2,1.0138117637313069,1.0039468017340045,1.0197012130330267,0.9915438531053854,0.992985132351076,1.02954667426912,1.0579852673691006,1.006044903941713,1.0027604309890403,1.0054496828869972
1996 Q3,1.0271384609021892,1.0099428242787816,1.0306304292476745,0.9905028979438236,0.9896747742175293,1.0480873504804542,1.0767269679146239,0.9971530754371455,1.0134758272247681,1.0148009846414836
1996 Q4,1.0492283484727005,1.0276588726671705,1.0500027273615142,1.0032355341842074,1.0047038256761374,1.0734675198283345,1.104224624069201,1.0100314358253912,1.0215395494589465,1.028614926141622
1997 Q1,1.0679514343491041,1.040880926513742,1.0713572914589309,1.0111255570286342,1.0043470109114598,1.1010290243775076,1.1391555185675695,1.0101192960878451,1.0319474345988058,1.0422617000996859
1997 Q2,1.1014821842201694,1.0625725787750506,1.099566268901195,1.0257685949623816,1.0140150526147713,1.139611343533094,1.189727387753462,1.0269984923848041,1.0497931192090333,1.0656916004939943
1997 Q3,1.133413881830228,1.0830483859990543,1.1289296083783442,1.0326441137929143,1.0216251962971943,1.1842137166331033,1.2386386826724387,1.034283549820865,1.062231686548588,1.0803912421526942
1997 Q4,1.1653326699596471,1.103183670641124,1.1565510769123695,1.0464350835644196,1.0436883845448093,1.2235394121440655,1.2792418150989415,1.0509944304626226,1.078711724000284,1.0988125896001115
1998 Q1,1.1872701791625666,1.1156977432182789,1.178727354724851,1.0629508755802421,1.0475398994651033,1.2504946719059753,1.3085099670891216,1.06003393228205,1.0882952876623393,1.1101342413877593
1998 Q2,1.2181630608640954,1.1360218681789518,1.2080198790918242,1.075523166629023,1.060374454281771,1.2883339533803566,1.355356413875155,1.069262844172271,1.108057859809845,1.1324997861936292
1998 Q3,1.2473266823764402,1.1546442668228718,1.2359891775684948,1.0814389242206364,1.0715637679667582,1.3170857501104325,1.3917731422678048,1.0736520669786944,1.118131010991842,1.149982046003737
