Date,Bedfordshire and Hertfordshire,West Midlands,"Herefordshire, Worcestershire and Warwickshire",Shropshire and Staffordshire,"Gloucestershire, Wiltshire and Bath/Bristol area",Dorset and Somerset,Lancashire,West Yorkshire,Hampshire and Isle of Wight,Greater Manchester,"Surrey, East and West Sussex",Outer London - South,Cumbria,Northumberland and Tyne and Wear,East Anglia,East Wales,West Wales and The Valleys,Cheshire,Merseyside,Essex,Kent,Outer London - East and North East,Derbyshire and Nottinghamshire,Tees Valley and Durham,North Yorkshire,South Yorkshire,East Yorkshire and Northern Lincolnshire,Lincolnshire,Inner London - East,Outer London - West and North West,Devon,Cornwall and Isles of Scilly,"Berkshire, Buckinghamshire and Oxfordshire","Leicestershire, Rutland and Northamptonshire",Inner London - West
1996,1.0350013006945133,1.0088382841672552,1.0254862273155378,1.0083407198413297,1.0304521423145165,1.0289590019836663,0.9879511993549825,0.9969797668291605,1.0377087036903208,1.0054384491052921,1.0436854511692126,1.0459211022915704,0.999921501498412,1.0031719723990105,1.0102497460189295,1.0120403905752413,1.0130953159649245,1.0075892773399255,0.996712720190374,1.0230731575936098,1.0261654695084683,1.0416718497433122,1.0058108445486826,0.998041124716131,1.0042531617091865,1.0006219833065484,0.9896168406126407,1.009063745900536,1.0619024134199178,1.055609780414086,1.015748817861984,1.0310432452773155,1.0414056580478024,1.020492610791369,1.075185914762519
1997,1.1595306116086255,1.068671626551638,1.1076211710299702,1.0621324479994305,1.1196079939386387,1.130647441291815,1.0192506728570292,1.0272385794516146,1.1517237667627076,1.0394906618655535,1.1728747048480361,1.1826655802626604,1.0414063323942238,1.045075428364186,1.0854317485859963,1.0748134630925974,1.0523385530799068,1.060305383147978,1.0265342649063671,1.1222070704133118,1.1277839853615226,1.1550808724523072,1.054747068925635,1.0188188419563917,1.0526958821334693,1.028352897849447,0.9978174672799577,1.0662769965273071,1.2074562095873078,1.206787828742618,1.0915899771442215,1.1170910567036967,1.1779639036232343,1.0963788732984159,1.2564791226295722
1998,1.292473267312404,1.1379759588546943,1.1980185329058826,1.1194066244763508,1.2303018587814625,1.243426307035791,1.0587090605735843,1.0695843060421564,1.2718342079416387,1.0900697904107863,1.3146591819029787,1.3338618441434518,1.0928201340868549,1.0990014441817866,1.1794718861399158,1.144747245434925,1.1004389020893093,1.1348372521727228,1.0691103674491946,1.232697854931068,1.2426002052152856,1.2936113499186823,1.1127274423564038,1.050541627137511,1.1146199410705424,1.0704038270648641,1.0246089427995009,1.127196387001687,1.3628360842114535,1.3669588712163205,1.1716227952220335,1.2165244168854532,1.319045624818044,1.181984006237687,1.3997437970690256
1999,1.430307212201237,1.218036553979163,1.3065880821433749,1.1916668997112398,1.368492989545554,1.373188236255163,1.103770724811756,1.1199088174021192,1.3987425712791524,1.1580322887637995,1.458709313722556,1.5038067681679843,1.1548140281700814,1.1571417758607976,1.2877540627769941,1.2244737226057247,1.151731114069683,1.2299396041728838,1.1239155566313996,1.3489928519264194,1.3645195682557631,1.4317427374460658,1.1821725143000177,1.080127107903608,1.1861414169267193,1.1227206867303494,1.0495168257781164,1.197490051133343,1.551525026482167,1.5421664903905161,1.2702524692138122,1.3260701663788912,1.468656716678869,1.2811708261596018,1.5711599305134234
2000,1.6763465835718836,1.3454652835654515,1.4752786048847901,1.3054008693135426,1.5986294780163512,1.596886210925325,1.173063418029489,1.2050188321837147,1.6469647480775511,1.2601683615750099,1.7183841152306276,1.7959045500461215,1.2357331844831654,1.229307693621958,1.4914388008510053,1.3515136700074295,1.2323861415708819,1.3658587960436297,1.220324641591509,1.5672023470740883,1.5877129986429,1.6907230002897442,1.2879527232300942,1.134130630085356,1.3276160889631445,1.20210381416552,1.1046045812911731,1.3177756396846352,1.8522430404493033,1.820180450042811,1.45694124173102,1.5102265566385027,1.7318756952067436,1.4457718169954745,1.8442977636605689
2001,1.8495003628099078,1.495748570363,1.6280155771627969,1.4300013786874672,1.7777102845961268,1.7737394375373374,1.255460943771661,1.3068975148777457,1.84084012113021,1.372250291499396,1.9081186458059942,1.9786360814328356,1.3243012311497493,1.3343491581455498,1.6831573007594256,1.4875110821782112,1.3162467750812699,1.5110350652724378,1.32732722585029,1.762186859214082,1.7706332732911272,1.9096457709161523,1.4224508647363097,1.1985246043926479,1.4944402725206052,1.294933013635521,1.1789525941613803,1.478385519394223,2.0796726336929043,2.0122919193765427,1.6628276158766049,1.6967410543214168,1.9099296232815024,1.6112545000243785,2.0361815901500404
2002,2.1572952742300173,1.7473258085037526,1.8899421119435336,1.6624699293607668,2.086728272325942,2.106520726731186,1.435381741555504,1.5179108324770696,2.152293262732356,1.5701397833360686,2.1962633650169163,2.279895457874847,1.5110434959181578,1.5817859062010753,2.0075257881559376,1.7485824667472551,1.495906771269009,1.7504640490792203,1.5225782264213599,2.096069971000605,2.071122806327276,2.2627968753372554,1.7137090179496266,1.3645859849368904,1.7868060094653797,1.514191942729446,1.3967101540382878,1.7816117501507147,2.374662633513447,2.3092895159695335,2.0230989571166273,2.1130518845850728,2.1860938800424696,1.904213534023616,2.2705523340232214
2003,2.4903886197030562,2.1106958157407507,2.2395469876395184,2.014496243314925,2.4010770130143895,2.4893361379784436,1.7397285610887008,1.8607828327894702,2.470728750292152,1.8725132407225233,2.490808954392324,2.5794814020499888,1.844406687219755,2.0048377903216545,2.332946597720928,2.117740692164301,1.8469323599079732,2.0806807045619493,1.8536929323070743,2.464472926622523,2.4263912850525036,2.6088258812782406,2.1241638442155177,1.6968244325660227,2.1566890079883207,1.887391028312732,1.7446986717161397,2.2113167001818637,2.6079233580100847,2.585477600382756,2.4160719674792497,2.6047336502027076,2.440327915137092,2.282222336389863,2.3953639312817754
2004,2.701057530348892,2.405861349838952,2.52292392045249,2.3650201613153863,2.647159452467472,2.767007930758356,2.1318165486667655,2.2123655437527074,2.687378511165473,2.2416476985891918,2.7019500076373575,2.7801274326183196,2.2961267620858776,2.419290392127227,2.604584756303837,2.4757818244608196,2.3146808674407615,2.417803115932526,2.3273142075413453,2.7072832833412406,2.6970471771932853,2.831060659689,2.44772488714353,2.1383514102651042,2.496606352634712,2.3287124285913023,2.1361800621936764,2.539868767211271,2.8119641033022806,2.7806277521368217,2.7535233218220823,3.008154712758463,2.6290739040073015,2.573118533326112,2.5793904574069715
2005,2.8223809353107763,2.5871433807591484,2.6909218861341677,2.5732326549006395,2.796988393379883,2.9118846803331753,2.368319212153787,2.4443405277407404,2.792967469804603,2.4861881174264275,2.8214536181500187,2.8799348940665825,2.5405396007458214,2.614801643699521,2.7604053671336928,2.6870243647283227,2.568294777505369,2.611195601081409,2.570355129375676,2.8575756081070955,2.849453296100089,2.9732565878143093,2.620120606490939,2.38602293219832,2.700663576344638,2.573062828483447,2.348178428572374,2.703575518900578,2.9480684715736523,2.874119708444779,2.936391615527274,3.192224333250883,2.735604907670083,2.729099328660556,2.6800949527574467
