"","Date","UKH2","UKG3","UKG1","UKG2","UKK1","UKK2","UKD4","UKE2","UKE4","UKJ3","UKD3","UKJ2","UKI6","UKI4","UKJ4","UKI5","UKD1","UKC2","UKH1","UKH3","UKL2","UKL1","UKD6","UKD7","UKF2","UKF1","UKC1","UKE3","UKE1","UKF3","UKK4","UKI3","UKI7","UKK3","UKJ1"
"1",1996-01-01,1.03631278303138,1.01009968686162,1.02475033841115,1.00847375632202,1.03072748593289,1.02978261469896,0.988270531118576,1.00352654053927,0.996972989212184,1.03795716409849,1.00686690277302,1.04420882520044,1.0463482394278,1.06321218214295,1.02734400519212,1.04158506209342,1.00167081958369,1.00343949820102,1.01072191844097,1.02426957394827,1.01305130350439,1.01372327475408,1.0078874519128,0.99858429694401,1.02004412745629,1.00563733806946,0.998817021297711,1.00112150428833,0.990390557173916,1.00951085462071,1.01585066392728,1.0766417909034,1.05646042300994,1.02931997965631,1.0417691317535
"2",1997-01-01,1.15901267869932,1.06895156817189,1.1067816327707,1.06177533774881,1.1195821805528,1.13030716357184,1.02040712953834,1.05201427604066,1.02881313223253,1.15141338096999,1.04090148247275,1.17254454762547,1.18289813550392,1.20668333078699,1.12835722452483,1.1550494365672,1.04272144958197,1.04599249405178,1.08537260421727,1.12179828718027,1.07509994614959,1.05281370688302,1.05971095318023,1.02878109022535,1.09638958201542,1.05486375744451,1.01943487830685,1.02982681951174,0.999251797239744,1.0652871076543,1.09184460125346,1.25307187594487,1.20600659282267,1.11446060941008,1.17800416019966
"3",1998-01-01,1.29294503906344,1.13913651755587,1.19780787736099,1.12011750534458,1.23036175094537,1.24325441850259,1.06101542021928,1.11463640313751,1.0707611271329,1.27238833426785,1.09260249670718,1.31393712386665,1.33247572960435,1.36150549686825,1.24351094717831,1.2941970253851,1.09504629639859,1.10017225138213,1.17958947543947,1.23239287270054,1.14580706950814,1.09993749828252,1.13485915803822,1.07156767972175,1.18131156838545,1.11325276306489,1.05133790276262,1.07089083414431,1.02758353643307,1.12684414619866,1.17177968614673,1.39759758266761,1.36583682699249,1.21358296297918,1.31863040895107
"4",1999-01-01,1.43006876193678,1.21969515037168,1.30666280181972,1.19244834288548,1.36734655823794,1.3730825970518,1.10587748989777,1.18677925802446,1.1223754581049,1.39819843435583,1.16169215936567,1.45683263965258,1.50140612636575,1.54708199990014,1.36490912210912,1.43101620944139,1.15707081086928,1.15835854549247,1.28806203466732,1.3484020887719,1.22559730179586,1.15264233800104,1.22977322378145,1.12880336078896,1.28202735846522,1.18335837070109,1.08221893440765,1.12470884327552,1.05380108835263,1.1986399567386,1.27043807933344,1.56582874365231,1.53877915912255,1.3236461026833,1.46799352677715
"5",2000-01-01,1.67511326251971,1.34765221675476,1.47469335477962,1.30757616111991,1.59706796796337,1.59534302555424,1.17745184629003,1.3266044744689,1.20813130654447,1.64635752284015,1.26663818925121,1.71499205548026,1.79220259353631,1.84380504670023,1.58667244404114,1.68897821515118,1.23758456755172,1.23231501207921,1.49123194321293,1.56578235164419,1.35265308410633,1.23363528631258,1.36540874891062,1.22612900139204,1.4457147552599,1.28988835944734,1.13738653310204,1.20471393275186,1.11020157871418,1.31792621352969,1.45751136082511,1.83714226469189,1.81508431903067,1.50676643956564,1.73009773229973
"6",2001-01-01,1.84828704866245,1.49808602397226,1.62713007491268,1.4311229438541,1.7754245643648,1.77142366360528,1.25884848814923,1.49569218247417,1.31066335877702,1.83921808688932,1.37747534420836,1.90422889003064,1.97551001586351,2.06896410140222,1.76915558857049,1.90608086636434,1.32811088741918,1.3378836459917,1.68146887551074,1.75900941547156,1.48780123658116,1.31882749038433,1.51000416867681,1.33376924204258,1.61005705634246,1.42341624072763,1.20293496641845,1.2981641372285,1.18509327764804,1.47892789381572,1.66166205329163,2.0289495277372,2.00742338859878,1.69128350525966,1.9074656923843
"7",2002-01-01,2.15273027328537,1.74642582331258,1.88732126845238,1.6632397742805,2.08127723527033,2.10142301320656,1.43846287473566,1.78383009623848,1.51959000391347,2.14826396976409,1.57589341829619,2.18847734871311,2.27352369129702,2.36059944949896,2.06674810026908,2.25358230614495,1.50955744313985,1.58163099684527,2.0026140228682,2.08867263168264,1.74649432689198,1.49674674874027,1.74784396701322,1.52540294598975,1.90091016529471,1.71154907866337,1.36887999055874,1.51535352358098,1.40354573695612,1.77906935886098,2.01539095852136,2.26206134767155,2.30162261998875,2.09604124394324,2.18280335460857
"8",2003-01-01,2.48541636270513,2.10409433869059,2.23296881158316,2.0115763355571,2.39331352481179,2.47811664807693,1.73966330529152,2.14803182586888,1.85752528655173,2.4652410450498,1.87613487019762,2.48016381274145,2.5715893030883,2.5929655323131,2.41857577784934,2.59649070271,1.84103765787814,1.99588844746547,2.32360723164385,2.45198125449861,2.11017024200329,1.84009209982369,2.07286411113494,1.85145513445689,2.27420637703967,2.11364178991493,1.69503929520943,1.8833435142458,1.74663794466787,2.20102233679713,2.40640103288996,2.38851257205938,2.57500963896911,2.57556851879424,2.43610813676879
"9",2004-01-01,2.69390397952208,2.39266332573758,2.51471761383272,2.35260565943169,2.63643575383061,2.75537388322494,2.12114188142358,2.48327074932921,2.19900681688711,2.68083217115315,2.23564939984576,2.69180586929204,2.77301820219129,2.79538922241329,2.68578719766646,2.81820812174339,2.28386589757744,2.39581991944105,2.59246189922418,2.69386853020011,2.4606139452903,2.29261546422251,2.40255317992993,2.30149509406477,2.56036991188936,2.43272950386959,2.12415650471899,2.30956272177799,2.12825782052835,2.5235452325399,2.73713210503729,2.57284110847503,2.77014877415808,2.97001580548462,2.62410125799253
"10",2005-01-01,2.81738397841778,2.57104049454733,2.68146905074102,2.55893152179996,2.78718992157017,2.90243596288045,2.35040301138062,2.68715515005632,2.42436516557913,2.78749884275262,2.47390499199684,2.8129098220788,2.87579183233425,2.933854958439,2.83784864519094,2.96320434944913,2.52499796798658,2.58544445740089,2.74951281653084,2.84668615920915,2.66803531662533,2.53561510842178,2.59134815475473,2.5395564134469,2.71659882825441,2.60049126160311,2.35983381599317,2.54712986156481,2.33618693449149,2.68716749099372,2.92111110772983,2.67631677720565,2.8671188505393,3.15503345139328,2.73115867328384
"11",2006-01-01,2.96163421256317,2.70449058124798,2.81862627283855,2.70970819411199,2.96799164902196,3.06687075942488,2.52750751715347,2.85158090972276,2.5906390769312,2.92941980106514,2.63365254978433,2.97500828386264,3.03500684661017,3.17789710842503,2.9953162310826,3.1145635854135,2.71609287617033,2.71849069582187,2.93421899741589,2.99012626922347,2.81391745914632,2.70292315496582,2.71675203657073,2.66362247454303,2.86340076138479,2.73612635062703,2.48722409901103,2.71028243751946,2.4904696944015,2.83287548295921,3.09708001345237,2.9395496312553,3.02997287147724,3.33963878543809,2.88679782053163
"12",2007-01-01,3.21400733372633,2.85131984138955,2.98770470066282,2.87655269271915,3.21277133725793,3.3011013526428,2.70756099671908,3.05498880816286,2.7741820350787,3.16131727549434,2.80274048471268,3.26831986437682,3.38883631485261,3.63557130144278,3.22312640652437,3.41924927969774,2.93546870223224,2.88153597289672,3.17932508602659,3.22067118980862,2.97346504331869,2.88590145582231,2.87575879144034,2.81920502556187,3.04873833814607,2.86778403903941,2.64183987721139,2.87730867007198,2.67044761625512,3.00087405345113,3.32584665846655,3.46684567534486,3.37899286367918,3.59911586149754,3.15354949407624
"13",2008-01-01,3.18385373331332,2.79546502322158,2.89621491289799,2.84021744338094,3.10883649944888,3.22666885820051,2.69081224629087,3.00678127762543,2.74375287022916,3.09446748888348,2.77045576558672,3.24718917757984,3.41329122801519,3.73261554658405,3.2023530368857,3.45511763841663,2.95385590105117,2.84125414942195,3.08491919257574,3.20303261651923,2.90476553285972,2.8491340236222,2.82575207534677,2.79205350668795,2.95071978509113,2.78849013974798,2.61767783710759,2.87699912873918,2.69053916375247,2.93688598668812,3.26672688152269,3.542014122231,3.43655296750526,3.54065536168719,3.10800694963658
"14",2009-01-01,2.91849066053123,2.55664214075677,2.67772843802729,2.63143566507693,2.86577652840976,2.96857925536288,2.50709525514536,2.80747762645956,2.51435741383768,2.86238716691107,2.54129638035473,2.98304669716738,3.09463755849804,3.49123699678383,2.90860859855773,3.14702104077061,2.82575462091033,2.62903247967724,2.83894688977855,2.92044047407142,2.71124856045781,2.68191877210846,2.62020341620021,2.54979036991413,2.69432187430908,2.59285069057199,2.42081762850752,2.6450388411918,2.46855082905686,2.69595109085528,3.04755793346349,3.3924819849239,3.1808543138253,3.32523488892834,2.87582961662862
"15",2010-01-01,3.12062493532444,2.65183793357208,2.78920287156743,2.69765738153917,3.03260870185539,3.1368365181018,2.54338136498736,2.91459848920094,2.56761418791602,3.03584599342859,2.60850227841719,3.20724931098969,3.33161702729637,3.76430827689198,3.06922808246307,3.34414656338957,2.89851163566071,2.67359043445835,2.99879936368475,3.09019637297223,2.79826721476368,2.74388466566561,2.70699440363239,2.59109493973991,2.82194392485615,2.67741578215789,2.43525598854963,2.69094967129238,2.52484462880571,2.77063996773027,3.19971168670308,3.73204553003289,3.44854461482915,3.45963722060143,3.06025358572399
"16",2011-01-01,3.12105015136496,2.5926474069992,2.76957672008714,2.65776306663858,2.99549868332706,3.09052876806695,2.47650638047974,2.87715083507433,2.50710862469463,3.02079058105039,2.5546489636989,3.20221822467646,3.35427579395049,3.88840292579493,3.02750115574251,3.3692649956947,2.86660347961471,2.60900857794661,2.97307517507838,3.07384528098876,2.76543655501232,2.68809612044119,2.66879920824873,2.52691534039805,2.78809921189807,2.63846591935162,2.35946614137842,2.63459744159097,2.4681506062615,2.73285220348612,3.15383301589579,3.90952574678767,3.51895823220962,3.43024569776588,3.05784104453908
"17",2012-01-01,3.18079370960582,2.59360424234143,2.79712516255922,2.64562689654771,3.04123247376805,3.10821000999681,2.42767862363606,2.88149909320453,2.47596908990489,3.05981803481643,2.55155430455883,3.27624054656909,3.4885399872368,4.12719388858246,3.06543693091333,3.45366618042856,2.83002269970127,2.58259098246991,3.01247665903743,3.11359279743584,2.76963588987903,2.66481822813102,2.66489764910165,2.49719266364813,2.80852897301267,2.64559473995476,2.32389727789939,2.61465079064241,2.44584474599093,2.73225262160328,3.16472706362507,4.22395023204394,3.67591082015066,3.42479134662961,3.12391561881366
"18",2013-01-01,3.30258701223208,2.64760515909251,2.86781438277316,2.69516932213983,3.13465351212446,3.17923901194839,2.44212180083729,2.93031534852417,2.48669802036438,3.13215044719939,2.58267887767847,3.41412093813729,3.73572945306052,4.49277146289728,3.18015207692719,3.66106453311232,2.84151697142639,2.60493533551487,3.10708947061938,3.20741537262188,2.81253088100925,2.68849659524694,2.70015192579568,2.50557169335887,2.87495458714107,2.70019404601786,2.32258597662311,2.64869432922529,2.47246768568433,2.79397990708046,3.22286855856707,4.65849161461894,3.92076816996767,3.47170298476485,3.25169353093354
"19",2014-01-01,3.63686721147624,2.77059283541381,3.02859239798741,2.81170529273919,3.35705937303511,3.34429678587996,2.5065257985619,3.07274276403715,2.59198465304664,3.35900831833277,2.70975273769705,3.73769187306937,4.31580878922636,5.27022995967185,3.47271316866815,4.17283684797227,2.90262259379336,2.69565177361066,3.33856054425419,3.48524883911041,2.93816179820821,2.7815536056603,2.83210683799792,2.60681396940926,3.07589971549045,2.84357930543352,2.37390009932198,2.75268775808902,2.56225464762022,2.95525630134179,3.37112500742002,5.42630803992548,4.45523838089009,3.57429317298503,3.56100377899342
"20",2015-01-01,4.03269542167633,2.90563203999221,3.17206503197767,2.9120553688157,3.60175122845776,3.50408180778151,2.56866931274426,3.20145296423707,2.68508891617471,3.60383442093331,2.83378667369205,4.05237018180875,4.74793564626702,5.78662436094637,3.77958942671273,4.66648284340324,2.96511362752273,2.76736420715225,3.56537267415918,3.80290937217048,3.04270819873136,2.84873618959273,2.93819696251859,2.67985463901437,3.24462677187863,2.96493179089119,2.40210057503711,2.84212517248316,2.64489772371339,3.09862655855313,3.49252263665233,5.72295849582522,4.91227412987044,3.71480753613849,3.90371896906005
"21",2016-01-01,4.51560469846133,3.0845269827995,3.33539473967105,3.03713615253222,3.90627013910127,3.69584292098503,2.6295901586164,3.32935122699727,2.79054471342886,3.87463265148478,2.99679608834715,4.4101559866684,5.28803156124578,6.37307549532153,4.17161815387945,5.28661563865199,3.04357987133194,2.82402591148614,3.83654211685655,4.24474312744423,3.17092716392783,2.95498831978933,3.06195455083124,2.77684338308456,3.4795020200316,3.10948246676303,2.43023488571613,2.94868312048262,2.73629231335472,3.25164728378385,3.62856951047236,6.02277529694857,5.37900065780629,3.84634004665355,4.30055446275261
"22",2017-01-01,4.81425978822565,3.29057973683244,3.51635231737939,3.15738497499916,4.14287707357285,3.8873044077678,2.70491549488674,3.44342343108354,2.89232812247743,4.0877433701202,3.1676603370566,4.60867953700226,5.51410114150141,6.58751018183113,4.46010480617697,5.59728958476638,3.1280478184803,2.88572838173155,4.08643785325556,4.57612922747978,3.30188506591998,3.04915438849593,3.19639781692631,2.89022708806058,3.72356769528104,3.26275380962286,2.46089468103746,3.03902348570903,2.85712960839571,3.43301509884969,3.77828508402758,6.04677715962259,5.56330396623008,3.99864832845678,4.48481548749934
"23",2018-01-01,4.89218529320869,3.47456234871435,3.67662457659611,3.28564178918484,4.30337473078584,4.04446056096676,2.7803803984789,3.5604344983426,2.99794099797391,4.19503033258241,3.34241687000589,4.69583067296079,5.49832488761696,6.54002336287017,4.62133576782512,5.70763870698241,3.18721908044588,2.94415358543228,4.25242376066153,4.72586524458696,3.47944870992127,3.18964414315225,3.31219687054497,2.9973574340484,3.91419048977133,3.42645708363362,2.48554266843825,3.16777766664542,2.95046205614481,3.57827629274815,3.9259039141298,5.89177413041594,5.50629586527007,4.17574078246836,4.51970096968313
"24",2019-01-01,4.85552242148661,3.58953592569802,3.7469297525306,3.37219339095871,4.35309685556354,4.09818860380105,2.84756809958991,3.63448228303894,3.09081147827614,4.21534553790912,3.48270514470445,4.67704006235125,5.42077610455908,6.46629388878176,4.65892105653528,5.66744388186758,3.25218519755743,2.98150525576816,4.30516320209597,4.76131337144705,3.58199768394728,3.31139698927807,3.40663098793799,3.08275511674662,4.00087663780482,3.53928076042225,2.50241729302193,3.256362872396,3.03434637674921,3.66675201498361,3.98112957573654,5.78558676868496,5.42287201528277,4.28189376456337,4.45379939188817
