"","Date","UKH","UKG","UKK","UKD","UKE","UKJ","UKI","UKC","UKL","UKF"
"1",1996-01-01,1.02326237586647,1.01292630104422,1.02783740067973,0.999452192585964,0.997114322119327,1.03965771014562,1.05618008716259,1.00198746524239,1.01280059373687,1.01211491579276
"2",1997-01-01,1.11879175920356,1.07668671578473,1.11695978697694,1.03613339314786,1.02581024458631,1.16201237243256,1.19759819196302,1.03398125045017,1.06057086047448,1.07329638084462
"3",1998-01-01,1.22994029438872,1.14933379735614,1.22129370566167,1.08762862969035,1.07033832979632,1.29422898043613,1.34608102757222,1.07810469445916,1.11852563455878,1.14263459119796
"4",1999-01-01,1.34991669605991,1.23548168035585,1.34632507990227,1.15221475273406,1.12114770168359,1.43227300672318,1.51460458115653,1.12350436383179,1.18259945194335,1.22546956972407
"5",2000-01-01,1.56936515510541,1.37026254962414,1.56045834863696,1.25044077670075,1.20787816861069,1.68203359089574,1.78973995493591,1.18926948406883,1.28212656614229,1.35644661006629
"6",2001-01-01,1.75590008161118,1.51345962835068,1.74582879305873,1.35686272476947,1.31195429716162,1.86823253757319,1.99076753499138,1.27449231715247,1.38807561700525,1.50719512816655
"7",2002-01-01,2.07309950247535,1.75976388555819,2.07233857831292,1.55437432627369,1.53619733446832,2.1559451161075,2.2810336375122,1.47764048300882,1.59866214421524,1.79751194133599
"8",2003-01-01,2.40815958348329,2.10943610939415,2.42391080789586,1.86267662373386,1.88377544535227,2.45092796518769,2.53291311776494,1.8466426330182,1.94536489998227,2.18946700363203
"9",2004-01-01,2.64886173277874,2.41041169583748,2.70079787815949,2.2402153785585,2.24956492397594,2.66634927776989,2.73122007959119,2.2615508542327,2.35540933760789,2.49467178822699
"10",2005-01-01,2.7952594882257,2.59234459600274,2.85981932140206,2.46596601551385,2.47102018815283,2.78717542554512,2.85061565154077,2.47266435400388,2.57997960210827,2.65589637437782
"11",2006-01-01,2.95718424337729,2.73204843958482,3.0407221352284,2.62081864300268,2.6329771586928,2.94402176682455,3.04538988619694,2.60310619669091,2.73765335768129,2.79848999724478
"12",2007-01-01,3.19910867542205,2.89213043835034,3.28240228545317,2.79222247805064,2.816698389109,3.20560358316453,3.43498752749183,2.76193330090152,2.91229326673253,2.95955413601057
"13",2008-01-01,3.14885428830215,2.83285278247696,3.20170196832347,2.76888520857221,2.8009413493745,3.16832092176479,3.49475214136188,2.73117953777311,2.86946756656319,2.8767421394922
"14",2009-01-01,2.88753836946491,2.60873395693241,2.96609199319441,2.56446200127996,2.57629355956115,2.91491534110864,3.24861046246353,2.5263761767529,2.69011254747329,2.64976157791549
"15",2010-01-01,3.06177852053101,2.6999934531926,3.12804842464471,2.62390158524506,2.63951618732819,3.10557059246609,3.50672018286672,2.55667198032173,2.76171874728644,2.74949970074544
"16",2011-01-01,3.04668338454698,2.65821143467367,3.08713032971085,2.56893197927371,2.5851489747116,3.09230568659785,3.59103299784922,2.48686895284304,2.71540390468723,2.71274557564284
"17",2012-01-01,3.09211361112476,2.66463751735663,3.11400908990672,2.54690124891798,2.56465115085769,3.14936998586273,3.76601839956596,2.45660947348094,2.70328357423147,2.72305197471858
"18",2013-01-01,3.19490864643664,2.72224453820159,3.18916327873509,2.56971304937897,2.58953689572168,3.26583619155227,4.05083123419288,2.4672383410677,2.73509579443942,2.78317803376182
"19",2014-01-01,3.46929252096314,2.85326696226866,3.36986024190994,2.67235207421416,2.69701030388168,3.55594730991916,4.63659275686604,2.53999457521366,2.84051092724623,2.95095784988515
"20",2015-01-01,3.76831592827601,2.97949108245718,3.5572225604551,2.76519390067153,2.79207769155822,3.85773904602478,5.08336552559897,2.59050799590759,2.92281435070892,3.09400511957867
"21",2016-01-01,4.14045472775346,3.1366226595532,3.7771604192401,2.88068237217783,2.89696085081925,4.20775897357148,5.60013286131989,2.63390965663552,3.03791740893482,3.27345349831606
"22",2017-01-01,4.42687373100343,3.306999187096,3.97082312235283,3.00364885560521,3.00194429146957,4.42609377973067,5.81796065500141,2.67963736558554,3.14497555186334,3.46372263285555
"23",2018-01-01,4.56918121849359,3.4665741436125,4.1315619492867,3.12437261429828,3.11181588338841,4.52190803646332,5.80475868304211,2.72090558699441,3.29923667974567,3.63277011689707
"24",2019-01-01,4.59319689308009,3.55845247096645,4.18523468306516,3.22073027935954,3.19810628583379,4.51342325530491,5.72728640258176,2.74623820824936,3.41327662527317,3.7306272791162
