Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
Feb 1995,1.018307912170979,1.009469688822718,1.010954910486762,1.0148604088971342,1.007632821556148,1.0023680616436448,1.003758655895727,0.9878684353451035,0.9888270573126964,0.9951849386816616
Mar 1995,1.0186732980273225,1.0054155462552719,1.0093237084361646,1.015993472174146,1.0094217936017629,1.0049746076376656,1.0174536941125385,1.0026734498098004,0.9953229363440501,0.9986179724373496
Apr 1995,1.015327371734915,0.994644042049723,1.0083916467023126,1.011824072024386,1.0116403982812472,1.0053516896567283,1.0161697230519993,1.0036191692254874,0.986789833267644,1.0004204302277646
May 1995,1.0197989580394597,1.004560795620078,1.0089844582372982,1.015728565775558,1.0020805733680869,1.0064429735784768,1.0216352027790927,1.0034567849443328,0.9985642086080343,0.999474912547164
Jun 1995,1.0181122266262281,1.0137781509300334,1.0197209583739966,1.0137575322115477,1.0060575153344031,1.0157675964057091,1.0301962955703,0.9983137036824399,0.9973219662794209,1.0083709251129245
Jul 1995,1.015644100668494,1.0013174793062725,1.0035863297264442,1.0004299148123745,1.0028407448297627,1.0062364511170017,1.0248034881843768,0.9940532835992989,0.9863308930279873,0.9978190453120472
Aug 1995,1.014702152929106,0.9932650327972614,1.007334402406384,1.0015166882195015,0.9958967503139728,1.009881649507049,1.025687205343009,0.9883954058502059,0.9881494086192748,0.9914529033648015
Sep 1995,1.015139254898969,0.9957064778555248,1.0096008476356477,1.0056225359229132,1.0029976063003017,1.0094236521547244,1.0267500541276189,0.9914245226028214,0.9964235651701814,1.0047932442893326
Oct 1995,1.0119504612488144,1.0062472012933825,1.0026887901004633,0.9951656719460027,1.0009265227905857,1.0102749624690799,1.0349837811639304,0.9921540323034257,0.9792808181043814,0.9914965656768298
Nov 1995,1.0228361941430886,1.0053464013283495,1.0050659027658975,1.004087823445978,1.0022308389279386,1.0137918546929898,1.031387690426555,0.9940188089307666,0.9983761141869274,0.9982935967042046
Dec 1995,1.0246234164205001,1.0139310615004897,1.0142546547596831,1.0083289019271262,1.0054333049909565,1.0195472997804436,1.043061716159066,1.0049629737587198,0.9890286496213112,0.9994552481303239
Jan 1996,1.0094881862341962,0.9959267966609603,1.0079953119530711,0.9920538861311842,0.9885118031055871,1.0146301718789008,1.0436527065062995,0.989180746854598,0.9884284464408171,0.994792675627249
Feb 1996,1.0103898227577592,1.0044605588731057,1.0153928368154264,1.0106273375847232,0.9940608522888739,1.020191530157052,1.0507370380247374,0.9822111739544598,0.9865522069212306,0.9922992015771664
Mar 1996,1.01877118825668,1.0008134612362631,1.0132516734811035,1.0045470528002367,0.9987787612046212,1.0279279101548848,1.0507713401102106,0.9903773450998795,0.9877583541100674,1.0040515547279074
Apr 1996,1.0184166261807768,1.006636269876225,1.0188779743983818,0.9932181724909757,0.9993207952812648,1.0261840968513578,1.0630920767417906,0.9960506657714039,0.9954688676846045,0.9960043426935296
May 1996,1.0242564111348098,1.0078554735124567,1.0263936955611692,0.9997865391109003,0.9940676023467878,1.0300414152501276,1.0604250470138974,1.0004676699927357,0.9949635354117374,1.0019252028743981
Jun 1996,1.036682087430182,1.0133000892063866,1.0347507127010296,1.0133814912063475,1.0045647045976251,1.0403782745614094,1.0765640851179488,1.0156669272423522,1.0018180031029114,1.011298712826006
